<hes>	a:6
saam1chin1yun4	s a: m1 ts i: n1 j y: n4
saam1hou6	s a: m1 h ow6
saam1hou2	s a: m1 h ow2
saam1hou2hok6sang1	s a: m1 h ow2 h O: k6 s 6 N1
saam1je2	s a: m1 dz E:2
saam1yi1	s a: m1 j i:1
saam1siu2	s a: m1 s iw2
saam1gang1	s a: m1 g 6 N1
saam1seui2	s a: m1 s 9y2
saam1baak3	s a: m1 b a: k3
saam1gam1	s a: m1 g 6 m1
saam1chaan1	s a: m1 ts a: n1
seung6	s 9: N6
seung6yat1	s 9: N6 j 6 t1
seung6ha6	s 9: N6 h a:6
seung6ha6gau2	s 9: N6 h a:6 g 6w2
seung6ha6mong5	s 9: N6 h a:6 m O: N5
seung6dou3	s 9: N6 d ow3
seung5dou3heui3	s 9: N5 d ow3 h 9y3
seung5dou2lai4	s 9: N5 d ow2 l 6j4
seung6ng5	s 9: N6 N5
seung5heui3	s 9: N5 h 9y3
seung5lei4	s 9: N5 l ej4
seung5maai4	s 9: N5 m a:j4
seung5hok6	s 9: N5 h O: k6
seung5jo2heui3	s 9: N5 dz O:2 h 9y3
seung6lin2	s 9: N6 l i: n2
seung5dak1	s 9: N5 d 6 k1
seung5paai4	s 9: N5 p a:j4
seung5jou2	s 9: N5 dz ow2
seung6jau3	s 9: N6 dz 6w3
seung5lei4	s 9: N5 l ej4
seung5lau4	s 9: N5 l 6w4
seung6chi3	s 9: N6 ts i:3
seung6hoi2	s 9: N6 h O:j2
seung5baan1	s 9: N5 b a: n1
seung5mong5	s 9: N5 m O: N5
seung5mong5ka1	s 9: N5 m O: N5 k a:1
seung5lok6baan1	s 9: N5 l O: k6 b a: n1
seung5fo3	s 9: N5 f O:3
seung5che1	s 9: N5 ts E:1
seung6bin1	s 9: N6 b i: n1
seung5go3mong5	s 9: N5 g O:3 m O: N5
seung6mun4	s 9: N6 m u: n4
seung6min6	s 9: N6 m i: n6
seung5gou1	s 9: N5 g ow1
ha6	h a:6
ha6ha6	h a:6 h a:6
ha6dai1	h a:6 d 6j1
ha6m5	h a:6 m5
ha6heui3	h a:6 h 9y3
ha6saan1	h a:6 s a: n1
ha6gong1	h a:6 g O: N1
ha6lin2	h a:6 l i: n2
ha6man4	h a:6 m 6 n4
ha6jau3	h a:6 dz 6w3
ha6chi3	h a:6 ts i:3
ha6fo3	h a:6 f O:3
ha6bin1	h a:6 b i: n1
ha6ye5	h a:6 j E:5
ha6yu5	h a:6 j y:5
ha6min6	h a:6 m i: n6
ha6lung4waan1	h a:6 l u: N4 w a: n1
bat1	b 6 t1
bat1ting4	b 6 t1 t i: N4
bat1yu4	b 6 t1 j y:4
bat1dak1liu5	b 6 t1 d 6 k1 l iw5
bat1dyun6	b 6 t1 d y: n6
bat1lau4	b 6 t1 l 6w4
bat1lau1	b 6 t1 l 6w1
bat1go3	b 6 t1 g O:3
jyun1	dz y: n1
jyun1yip6	dz y: n1 j i: p6
jyun1yip6yan4si6	dz y: n1 j i: p6 j 6 n4 s i:6
jyun1maai6dim3	dz y: n1 m a:j6 d i: m3
jyun1sam1	dz y: n1 s 6 m1
jyun1kyun4	dz y: n1 k y: n4
jyun1dang1	dz y: n1 d 6 N1
jyun1fo1	dz y: n1 f O:1
sai3wa4	s 6j3 w a:4
sai3gaai5	s 6j3 g a:j5
yip6jyu2	j i: p6 dz y:2
yip6mou6	j i: p6 m ow6
dung1	d u: N1
dung1dung1	d u: N1 d u: N1
dung1bak1	d u: N1 b 6 k1
dung1bak1mai1	d u: N1 b 6 k1 m 6j1
dung1bak1choi3	d u: N1 b 6 k1 ts O:j3
dung1laam4a3	d u: N1 l a: m4 a:3
dung1pou2	d u: N1 p ow2
dung1gun2	d u: N1 g u: n2
dung1gu1	d u: N1 g u:1
dung1mun4	d u: N1 m u: n4
dung1fung1	d u: N1 f u: N1
dung1fung1lou6	d u: N1 f u: N1 l ow6
si1	s i:1
diu1	d iw1
leung5	l 9: N5
leung5maan6	l 9: N5 m a: n6
leung5go3	l 9: N5 g O:3
leung5gung1po2	l 9: N5 g u: N1 p O:2
leung5chin1	l 9: N5 ts i: n1
leung5chin1gei2	l 9: N5 ts i: n1 g ej2
leung5gwai3	l 9: N5 gw 6j3
leung5mou5leui5	l 9: N5 m ow5 l 9y5
leung5baak3gei2	l 9: N5 b a: k3 g ej2
yim4	j i: m4
yim4jung6	j i: m4 dz u: N6
go3	g O:3
go3yan4lang4lik6	g O:3 j 6 n4 l 6 N4 l i: k6
go3leui5jing2me1	g O:3 l 9y5 dz i: N2 m E:1
go3dai2	g O:3 d 6j2
go3sing3	g O:3 s i: N3
jung1	dz u: N1
jung1seung6	dz u: N1 s 9: N6
jung1jyun1	dz u: N1 dz y: n1
jung1yi6lou6hau2	dz u: N1 j i:6 l ow6 h 6w2
jung1gaai3	dz u: N1 g a:j3
jung1m5	dz u: N1 m5
jung1gok3	dz u: N1 g O: k3
jung1gok3yan4sau6	dz u: N1 g O: k3 j 6 n4 s 6w6
jung1gok3ping4on1	dz u: N1 g O: k3 p i: N4 O: n1
jung1gok3ping4on1bou2him2	dz u: N1 g O: k3 p i: N4 O: n1 b ow2 h i: m2
jung1gok3yi4dung6	dz u: N1 g O: k3 j i:4 d u: N6
jung1oi6	dz u: N1 O:j6
jung1saan1	dz u: N1 s a: n1
jung1saan1m5	dz u: N1 s a: n1 m5
jung1saan1baat3	dz u: N1 s a: n1 b a: t3
jung1saan1gung1yun2	dz u: N1 s a: n1 g u: N1 j y: n2
jung1saan1jim1yun2	dz u: N1 s a: n1 dz i: m1 j y: n2
jung1sam1	dz u: N1 s 6 m1
jung1yut6lau2	dz u: N1 j y: t6 l 6w2
jung1tau4jing3gyun3	dz u: N1 t 6w4 dz i: N3 g y: n3
jung1man4	dz u: N1 m 6 n4
jung1cheun4	dz u: N1 ts 9: n4
jung1hoi2jeung1dou1	dz u: N1 h O:j2 dz 9: N1 d ow1
jung1sek6yau4	dz u: N1 s E: k6 j 6w4
jung1gaan1	dz u: N1 g a: n1
fung1fu3	f u: N1 f u:3
chyun3	ts y: n3
chyun3jai2	ts y: n3 dz 6j2
lam4	l 6 m4
lam4si4gung1	l 6 m4 s i:4 g u: N1
daan1ha4saan1	d a: n1 h a:4 s a: n1
wai4	w 6j4
wai4ji2	w 6j4 dz i:2
jyu2lik6	dz y:2 l i: k6
jyu2dung6	dz y:2 d u: N6
jyu2jik6	dz y:2 dz i: k6
jyu2jeung1	dz y:2 dz 9: N1
jyu2baan2	dz y:2 b a: n2
jyu2gun2	dz y:2 g u: n2
jyu2yiu3	dz y:2 j iw3
jyu2gok3	dz y:2 g O: k3
lai6	l 6j6
geui2	g 9y2
geui2baan6	g 9y2 b a: n6
gau2	g 6w2
mo1	m O:1
ji1	dz i:1
ji1chin4	dz i:1 ts i: n4
ji1hau6	dz i:1 h 6w6
ji1chyu2	dz i:1 ts y:2
ji1oi6	dz i:1 O:j6
ji1so2yi5	dz i:1 s O:2 j i:5
ji1leui6	dz i:1 l 9y6
wu1	w u:1
wu1ying4	w u:1 j i: N4
ja3sing2	dz a:3 s i: N2
lok6cheui3	l O: k6 ts 9y3
bing1bam1bo1	b i: N1 b 6 m1 b O:1
gwaai1	gw a:j1
gwaai1gwaai1	gw a:j1 gw a:j1
sing4	s i: N4
mat1	m 6 t1
mat1ye5yan4	m 6 t1 j E:5 j 6 n4
mat1ye5	m 6 t1 j E:5
mat1gwai2	m 6 t1 gw 6j2
gau2	g 6w2
gau2sin1	g 6w2 s i: n1
gau2sap6	g 6w2 s 6 p6
gau2a6gau2	g 6w2 a:6 g 6w2
gau2a6baat3	g 6w2 a:6 b a: t3
gau2a6gei2	g 6w2 a:6 g ej2
gau2suk1	g 6w2 s u: k1
gau2hou2	g 6w2 h ow2
gau2yut6	g 6w2 j y: t6
gau2jau1	g 6w2 dz 6w1
gau2baak3	g 6w2 b a: k3
ya5	j a:5
jaap6gwaan3	dz a: p6 gw a: n3
heung1	h 9: N1
heung1ha6	h 9: N1 h a:6
syu1	s y:1
maai5	m a:j5
maai5ha2	m a:j5 h a:2
maai5ha2ye5	m a:j5 h a:2 j E:5
maai5dou3	m a:j5 d ow3
maai5maai6	m a:j5 m a:j6
maai5yun4sung3	m a:j5 j y: n4 s u: N3
maai5jo2yuk6	m a:j5 dz O:2 j y: k6
maai5jo2choi3	m a:j5 dz O:2 ts O:j3
maai5jo2ye5	m a:j5 dz O:2 j E:5
maai5dak1dou3	m a:j5 d 6 k1 d ow3
maai5choi3	m a:j5 ts O:j3
maai5fo3	m a:j5 f O:3
maai5faan1	m a:j5 f a: n1
maai5ye5	m a:j5 j E:5
maai5sung3	m a:j5 s u: N3
lyun6	l y: n6
lyun6chat1baat3jou1	l y: n6 ts 6 t1 b a: t3 dz ow1
lyun6loi4	l y: n6 l O:j4
lyun6gong2	l y: n6 g O: N2
yu5jyu1	j y:5 dz y:1
yu5gap3	j y:5 g 6 p3
la2ying4	l a:2 j i: N4
la2ying4hong1	l a:2 j i: N4 h O: N1
liu5	l iw5
liu5gaai2	l iw5 g a:j2
liu5gaai2ha5	l iw5 g a:j2 h a:5
jang1	dz 6 N1
jang1dou3	dz 6 N1 d ow3
jang1jaat3	dz 6 N1 dz a: t3
si6	s i:6
si6sin1	s i:6 s i: n1
si6sat6	s i:6 s 6 t6
si6ching4	s i:6 ts i: N4
yi6	j i:6
yi6ei1	j i:6 ej1
yi6jai2	j i:6 dz 6j2
yi6sap6	j i:6 s 6 p6
yi6a6yat1	j i:6 a:6 j 6 t1
yi6a6maan6	j i:6 a:6 m a: n6
yi6a6saam1ji1	j i:6 a:6 s a: m1 dz i:1
yi6a6luk6hou2	j i:6 a:6 l u: k6 h ow2
yi6a6sei3hou2	j i:6 a:6 s ej3 h ow2
yi6chin1	j i:6 ts i: n1
yi6hou2	j i:6 h ow2
yi6sau2	j i:6 s 6w2
yi6yut6	j i:6 j y: t6
yi6baak3	j i:6 b a: k3
wan4	w 6 n4
wan4laam4toi4	w 6 n4 l a: m4 t O:j4
wu6seung1	w u:6 s 9: N1
m5	m5
m5sap6	m5 s 6 p6
m5a6fan6	m5 a:6 f 6 n6
m5sap6gei2	m5 s 6 p6 g ej2
m5chin1	m5 ts i: n1
m5hou6	m5 h ow6
m5lin4kap1	m5 l i: n4 k 6 p1
m5yut6	m5 j y: t6
m5baak3	m5 b a: k3
m5yeung4gong2cheung4	m5 j 9: N4 g O: N2 ts 9: N4
m5yeung4diu1jeung6	m5 j 9: N4 d iw1 dz 9: N6
m5jeung6gong2cheung4	m5 dz 9: N6 g O: N2 ts 9: N4
a3taai3	a:3 t a:j3
a3jau1	a:3 dz 6w1
gong1	g O: N1
gaau1	g a:w1
gaau1doi6	g a:w1 d O:j6
gaau1yik6wui2	g a:w1 j i: k6 w u:j2
gaau1lau4	g a:w1 l 6w4
gaau1lau4wui5	g a:w1 l 6w4 w u:j5
gaau1lau4din6	g a:w1 l 6w4 d i: n6
gaau1jou1	g a:w1 dz ow1
gaau1gun2so2	g a:w1 g u: n2 s O:2
gaau1ging2	g a:w1 g i: N2
gaau1fai3	g a:w1 f 6j3
gaau1tung1	g a:w1 t u: N1
gaau1chin2	g a:w1 ts i: n2
yik6	j i: k6
yik6dou1	j i: k6 d ow1
chaan2yip6	ts a: n2 j i: p6
chaan2ban2	ts a: n2 b 6 n2
ting4toi4lau5gok3	t i: N4 t O:j4 l 6w5 g O: k3
chan1	ts 6 n1
chan1chik1	ts 6 n1 ts i: k1
chan1ji6	ts 6 n1 dz i:6
yan4	j 6 n4
yan4si6	j 6 n4 s i:6
yan4tai2	j 6 n4 t 6j2
yan4lik6ji1yun4	j 6 n4 l i: k6 dz i:1 j y: n4
yan4hau2	j 6 n4 h 6w2
yan4meng2	j 6 n4 m E: N2
yan4yun4	j 6 n4 j y: n4
yan4dei6	j 6 n4 d ej6
yan4si6	j 6 n4 s i:6
yan4tau4	j 6 n4 t 6w4
yan4yiu2	j 6 n4 j iw2
yan4ga1	j 6 n4 g a:1
yan4gung1	j 6 n4 g u: N1
yan4ching4	j 6 n4 ts i: N4
yan4sou3	j 6 n4 s ow3
yan4man4	j 6 n4 m 6 n4
yan4man4yi1yun2	j 6 n4 m 6 n4 j i:1 j y: n2
yan4man4bai6	j 6 n4 m 6 n4 b 6j6
yan4lau4leung6	j 6 n4 l 6w4 l 9: N6
yan4sang1	j 6 n4 s 6 N1
yan4hai6	j 6 n4 h 6j6
yik1	j i: k1
yan4wo4jaam6	j 6 n4 w O:4 dz a: m6
yan4sau6ji6	j 6 n4 s 6w6 dz i:6
yan4sau6chi4	j 6 n4 s 6w6 ts i:4
gam1	g 6 m1
gam1tin1	g 6 m1 t i: n1
gam1lin4	g 6 m1 l i: n4
gam1yat6	g 6 m1 j 6 t6
gam1jou2	g 6 m1 dz ow2
gam1maan5	g 6 m1 m a: n5
gam1maan5hak1	g 6 m1 m a: n5 h 6 k1
gam1jiu1	g 6 m1 dz iw1
gam1jiu1jou2	g 6 m1 dz iw1 dz ow2
gam1chi3	g 6 m1 ts i:3
gaai3	g a:j3
gaai3siu6	g a:j3 s iw6
gaai3siu6ha5	g a:j3 s iw6 h a:5
chung4	ts u: N4
chung4fa3	ts u: N4 f a:3
chung4loi4	ts u: N4 l O:j4
chong1fu3	ts O: N1 f u:3
jai2	dz 6j2
jai4jai2	dz 6j4 dz 6j2
jai2leui2	dz 6j2 l 9y2
ta1	t a:1
fu6	f u:6
sin1	s i: n1
sin1yan4	s i: n1 j 6 n4
doi6	d O:j6
doi6baan1	d O:j6 b a: n1
doi6biu2	d O:j6 b iw2
yi5	j i:5
yi5seung6	j i:5 s 9: N6
yi5ha6	j i:5 h a:6
yi5wai4	j i:5 w 6j4
yi5loi6	j i:5 l O:j6
yi5chin4	j i:5 ts i: n4
yi5hau6	j i:5 h 6w6
jung6	dz u: N6
jung6ga1	dz u: N6 g a:1
jung6cheun1	dz u: N6 ts 9: n1
jung6yau5	dz u: N6 j 6w5
jung6mei6	dz u: N6 m ej6
jung6yiu3	dz u: N6 j iw3
gin6	g i: n6
ga3	g a:3
ga3chin4	g a:3 ts i: n4
yam6	j 6 m6
yam6ho4	j 6 m6 h O:4
yam6mou6	j 6 m6 m ow6
yam6mou6	j 6 m6 m ow6
fan6	f 6 n6
fong2	f O: N2
kei5	k ej5
kei5yip6	k ej5 j i: p6
kei5dou3	k ej5 d ow3
kei5loi4	k ej5 l O:j4
kei5lei5	k ej5 l ej5
fuk6	f u: k6
yau1	j 6w1
yau1m4yau1sik1	j 6w1 m4 j 6w1 s i: k1
yau1saai3sik1	j 6w1 s a:j3 s i: k1
yau1sik1	j 6w1 s i: k1
yau1sik1yat6	j 6w1 s i: k1 j 6 t6
yau1jing2	j 6w1 dz i: N2
yau1haan4	j 6w1 h a: n4
yau1wai6	j 6w1 w 6j6
fo2gei3	f O:2 g ej3
fo2sik6	f O:2 s i: k6
wui5	w u:j5
wui2yun4	w u:j2 j y: n4
wui5m4wui5	w u:j5 m4 w u:j5
wui6gai3	w u:j6 g 6j3
wui6gai3si1	w u:j6 g 6j3 s i:1
wui6gai3jing3	w u:j6 g 6j3 dz i: N3
wai5go1	w 6j5 g O:1
wai5fo1	w 6j5 f O:1
wai5hung4	w 6j5 h u: N4
chyun4	ts y: n4
chyun4daan1	ts y: n4 d a: n1
chyun4hoi1	ts y: n4 h O:j1
chyun4yin5	ts y: n4 j i: n5
leun4	l 9: n4
baak3ye1po4	b a: k3 j E:1 p O:4
gu2	g u:2
gu2ha2	g u:2 h a:2
gu2gai3	g u:2 g 6j3
bun6	b u: n6
san1jin2	s 6 n1 dz i: n2
chi5	ts i:5
chi5fu4	ts i:5 f u:4
daan6	d a: n6
dan6hai6	d 6 n6 h 6j6
wai2	w 6j2
wai6ji3	w 6j6 dz i:3
dai1	d 6j1
dai1wai2	d 6j1 w 6j2
dai1mai4	d 6j1 m 6j4
jyu6	dz y:6
jyu6suk1	dz y:6 s u: k1
jyu6fong2	dz y:6 f O: N2
jyu6jou1	dz y:6 dz ow1
jyu6yun6	dz y:6 j y: n6
tai2yuk6	t 6j2 j y: k6
tai2leung6	t 6j2 l 9: N6
ho4bi2bi1	h O:4 b i:2 b i:1
ho4yu5jan1	h O:4 j y:5 dz 6 n1
ho4man5chiu1	h O:4 m 6 n5 ts iw1
ho4ji2	h O:4 dz i:2
yu4wing6yi4	j y:4 w i: N6 j i:4
fat6saan1	f 6 t6 s a: n1
fat6saan1ban1gun2	f 6 t6 s a: n1 b 6 n1 g u: n2
jok3	dz O: k3
jok3yip6	dz O: k3 j i: p6
jok3wai4	dz O: k3 w 6j4
jok3jin3	dz O: k3 dz i: n3
jok3man4	dz O: k3 m 6 n4
jok3yung6	dz O: k3 j y: N6
lei5	l ej5
lei5dei6	l ej5 d ej6
lei5hou2	l ej5 h ow2
keui5	k 9y5
keui5dei6	k 9y5 d ej6
lou2	l ow2
gaai1	g a:j1
gaai1ling4na4	g a:j1 l i: N4 n a:4
sai2	s 6j2
si5	s i:5
si5dou3	s i:5 d ow3
sai2m4sai2	s 6j2 m4 s 6j2
jat6ji2	dz 6 t6 dz i:2
chi2	ts i:2
lai6yu4	l 6j6 j y:4
lai6ji2	l 6j6 dz i:2
gung1	g u: N1
gung1din6	g u: N1 d i: n6
yi1	j i:1
lung4	l u: N4
hau6cheng1	h 6w6 ts E: N1
ting5	t i: N5
bin3	b i: n3
pin4ga3	p i: n4 g a:3
bin6bin6	b i: n6 b i: n6
pin4yi4	p i: n4 j i:4
bou2	b ow2
bou2gwan1	b ow2 gw 6 n1
bou2mou5	b ow2 m ow5
bou2ying1daan1	b ow2 j i: N1 d a: n1
bou2wu6	b ow2 w u:6
bou2se5	b ow2 s E:5
bou2jing3	b ow2 dz i: N3
bou2him2	b ow2 h i: m2
hap6yi6	h 6 p6 j i:6
seun3	s 9: n3
seun3hou6	s 9: n3 h ow6
seun3wo4	s 9: n3 w O:4
seun3fung1	s 9: n3 f u: N1
seun3sik1	s 9: n3 s i: k1
seun3gaau3	s 9: n3 g a:w3
seun3taai3	s 9: n3 t a:j3
sau1	s 6w1
sau1wai4	s 6w1 w 6j4
sau1yeung5	s 6w1 j 9: N5
keui1lok6bou6	k 9y1 l O: k6 b ow6
pui5	p u:j5
dou3	d ow3
dou2mui4	d ow2 m u:j4
je3	dz E:3
je3syu1	dz E:3 s y:1
je3m4je3chin2	dz E:3 m4 dz E:3 ts i: n2
je3chin2	dz E:3 ts i: n2
jaai3mou6	dz a:j3 m ow6
jik6	dz i: k6
jik6dak1	dz i: k6 d 6 k1
jik6baan1	dz i: k6 b a: n1
king1	k i: N1
king1ha2	k i: N1 h a:2
king1ha5gai2	k i: N1 h a:5 g 6j2
king1leung5geui3	k i: N1 l 9: N5 g 9y3
king1king1gai3	k i: N1 k i: N1 g 6j3
king1yun4gai2	k i: N1 j y: n4 g 6j2
king1din6wa2	k i: N1 d i: n6 w a:2
king1gai2	k i: N1 g 6j2
ga3	g a:3
ga3ga3	g a:3 g a:3
ga2yu4	g a:2 j y:4
ga3yat6	g a:3 j 6 t6
ga3yat6tung1	g a:3 j 6 t6 t u: N1
ga3kei4	g a:3 k ej4
pin1sam1	p i: n1 s 6 m1
pin1gik1	p i: n1 g i: k1
pin1lei4	p i: n1 l ej4
jo6	dz O:6
jo6ha5	dz O:6 h a:5
jou6mat1gwai2	dz ow6 m 6 t1 gw 6j2
jou6yan4	dz ow6 j 6 n4
jou6jou6ha2	dz ow6 dz ow6 h a:2
jou6dou3	dz ow6 d ow3
jou6dou3ye5	dz ow6 d ow3 j E:5
jou6m4jou6	dz ow6 m4 dz ow6
jou6m4dou3	dz ow6 m4 d ow3
jou6maai4	dz ow6 m a:j4
jou6gung1	dz ow6 g u: N1
jo6hoi1ye5	dz O:6 h O:j1 j E:5
jou6dak1dou3	dz ow6 d 6 k1 d ow3
jo6ye5	dz O:6 j E:5
ting4	t i: N4
ting4yat1ting4	t i: N4 j 6 t1 t i: N4
ting4si5	t i: N4 s i:5
ting4gei1	t i: N4 g ej1
ting4che1	t i: N4 ts E:1
gin6lik6bou2	g i: n6 l i: k6 b ow2
gin6hong1	g i: n6 h O: N1
tau1	t 6w1
tau1tau1	t 6w1 t 6w1
tau1m4dou3gai1	t 6w1 m4 d ow3 g 6j1
tau1siu3	t 6w1 s iw3
bong6	b O: N6
pong4maan5	p O: N4 m a: n5
chyu5bei6	ts y:5 b ej6
chyu5hei2	ts y:5 h ej2
cheui1	ts 9y1
so4	s O:4
so4ha2	s O:4 h a:2
so4lou2	s O:4 l ow2
so4so4	s O:4 s O:4
so4gwa1	s O:4 gw a:1
so4ye5	s O:4 j E:5
leng1jai2	l E: N1 dz 6j2
leng1mui1	l E: N1 m u:j1
yun4	j y: n4
yun4daan3	j y: n4 d a: n3
yun4long5	j y: n4 l O: N5
hing1	h i: N1
hing1dai6	h i: N1 d 6j6
chung1	ts u: N1
chung1din6	ts u: N1 d i: n6
chung1juk1	ts u: N1 dz u: k1
chung1juk1ha2	ts u: N1 dz u: k1 h a:2
siu6	s iw6
sin1	s i: n1
sin1ji1	s i: n1 dz i:1
sin1saang1	s i: n1 s a: N1
sin1ji3	s i: n1 dz i:3
gong1	g O: N1
gong1gwan3jit3	g O: N1 gw 6 n3 dz i: t3
gong1gun2	g O: N1 g u: n2
gong1yam1	g O: N1 j 6 m1
min5	m i: n5
min5tai4	m i: n5 t 6j4
min5fai3	m i: n5 f 6j3
dau1	d 6w1
dau1ha2	d 6w1 h a:2
dau1ha2hyun1	d 6w1 h a:2 h y: n1
dau1dau1jyun2jyun2	d 6w1 d 6w1 dz y: n2 dz y: n2
dau1lai4dau1heui3	d 6w1 l 6j4 d 6w1 h 9y3
yap6	j 6 p6
