<hes>	<hes>	a: _6	6 m _6	m _5	ej _6
A	ei1	ej _1
一九五七年	yat1gau2ng5chat1nin4	j 6 t _1 . g 6w _2 . N _5 . ts 6 t _1 . n i: n _4	j 6 t _1 . g 6w _2 . m _5 . ts 6 t _1 . n i: n _4
一九五四年	yat1gau2m5sei3nin4	j 6 t _1 . g 6w _2 . m _5 . s ej _3 . l i: n _4	j 6 t _1 . g 6w _2 . m _5 . s ej _3 . n i: n _4
一九八一年	yat1gau2baat3yat1nin4	j 6 t _1 . g 6w _2 . b a: t _3 . j 6 t _1 . n i: n _4
一九八三	yat1gau2baat3saam1	j 6 t _1 . g 6w _2 . b a: t _3 . s a: m _1
一九八三年	yat1gau2baat3saam1nin4	j 6 t _1 . g 6w _2 . b a: t _3 . s a: m _1 . n i: n _4
一九八九	yat1gau2baat3gau2	j 6 t _1 . g 6w _2 . b a: t _3 . g 6w _2
一九八九年	yat1gau2baat3gau2nin4	j 6 t _1 . g 6w _2 . b a: t _3 . g 6w _2 . n i: n _4
一九八二年	yat1gau2baat3yi6nin4	j 6 t _1 . g 6w _2 . b a: t _3 . j i: _6 . n i: n _4
一九八五年	yat1gau2baat3ng5nin4	j 6 t _1 . g 6w _2 . b a: t _3 . N _5 . n i: n _4	j 6 t _1 . g 6w _2 . b a: t _3 . m _5 . n i: n _4
一九八八年	yat1gau2baat3baat3nin4	j 6 t _1 . g 6w _2 . b a: t _3 . b a: t _3 . l i: n _4	j 6 t _1 . g 6w _2 . b a: t _3 . b a: t _3 . n i: n _4
一九八六年	yat1gau2baat3luk6nin4	j 6 t _1 . g 6w _2 . b a: t _3 . l u: k _6 . n i: n _4
一九八四年	yat1gau2baat3sei3nin4	j 6 t _1 . g 6w _2 . b a: t _3 . s ej _3 . n i: n _4
一九八零	yat1gau2baat3leng4	j 6 t _1 . g 6w _2 . b a: t _3 . l E: N _4
一九八零年	yat1gau2baat3leng4nin4	j 6 t _1 . g 6w _2 . b a: t _3 . l E: N _4 . n i: n _4
一九六三年	yat1gau2luk6saam1nin4	j 6 t _1 . g 6w _2 . l u: k _6 . s a: m _1 . n i: n _4
一九六二年	yat1gau2luk6yi6nin4	j 6 t _1 . g 6w _2 . l u: k _6 . j i: _6 . n i: n _4
一九六五年	yat1gau2luk6ng5nin4	j 6 t _1 . g 6w _2 . l u: k _6 . N _5 . n i: n _4	j 6 t _1 . g 6w _2 . l u: k _6 . m _5 . n i: n _4
一九六八	yat1gau2luk6baat3	j 6 t _1 . g 6w _2 . l u: k _6 . b a: t _3
一九六八年	yat1gau2luk6baat3nin4	j 6 t _1 . g 6w _2 . l u: k _6 . b a: t _3 . n i: n _4
一九六四年	yat1gau2luk6sei3nin4	j 6 t _1 . g 6w _2 . l u: k _6 . s ej _3 . n i: n _4
一九六零年	yat1gau2luk6leng4nin4	j 6 t _1 . g 6w _2 . l u: k _6 . l E: N _4 . n i: n _4
一九零零	yat1gau2leng4leng4	j 6 t _1 . g 6w _2 . l E: N _4 . l E: N _4
一切	yat1chai3	j 6 t _1 . ts 6j _3
一十	yat1sap6	j 6 t _1 . s 6 p _6
一十一	yat1sap6yat1	j 6 t _1 . s 6 p _6 . j 6 t _1
一十一万	yat1sap6yat1maan6	j 6 t _1 . s 6 p _6 . j 6 t _1 . m a: n _6
一十二	yat1sap6yi6	j 6 t _1 . s 6 p _6 . j i: _6
一十五	yat1sap6ng5	j 6 t _1 . s 6 p _6 . N _5	j 6 t _1 . s 6 p _6 . m _5
一十八	yat1sap6baat3	j 6 t _1 . s 6 p _6 . b a: t _3
一十六	yat1sap6luk6	j 6 t _1 . s 6 p _6 . l u: k _6
一十四	yat1sap6sei3	j 6 t _1 . s 6 p _6 . s ej _3
一千	yat1chin1	j 6 t _1 . ts i: n _1
一半	yat1bun3	j 6 t _1 . b u: n _3
一味	yat1mei2	j 6 t _1 . m ej _2
一四年	yat1sei3nin2	j 6 t _1 . s ej _3 . n i: n _2
一定	yat1ding6	j 6 t _1 . d i: N _6
一家	yat1ga1	j 6 t _1 . g a: _1
一展抱负	yat1jin2pou5fu6	j 6 t _1 . dz i: n _2 . p ow _5 . f u: _6
一律	yat1leut6	j 6 t _1 . l 9: t _6
一日	yat1yat6	j 6 t _1 . j 6 t _6
一旦	yat1daan6	j 6 t _1 . d a: n _6
一月	yat1yut6	j 6 t _1 . j y: t _6
一朝得志	yat1jiu1dak1ji3	j 6 t _1 . dz iw _1 . d 6 k _1 . dz i: _3
一样	yat1yeung6	j 6 t _1 . j 9: N _6
一次	yat1chi3	j 6 t _1 . ts i: _3
一流	yat1lau4	j 6 t _1 . l 6w _4
一生	yat1sang1	j 6 t _1 . s 6 N _1
一生人	yat1sang1yan4	j 6 t _1 . s 6 N _1 . j 6 n _4
一百	yat1baak3	j 6 t _1 . b a: k _3
一直	yat1jik6	j 6 t _1 . dz i: k _6
一般	yat1bun1	j 6 t _1 . b u: n _1
一辈子	yat1bui3ji2	j 6 t _1 . b u:j _3 . dz i: _2
一部份	yat1bou6fan6	j 6 t _1 . b ow _6 . f 6 n _6
丁点大	ding1dim2daai6	d i: N _1 . d i: m _2 . d a:j _6
七	chat1	ts 6 t _1
七万	chat1maan6	ts 6 t _1 . m a: n _6
七三年	chat1saam1nin4	ts 6 t _1 . s a: m _1 . n i: n _4
七十	chat1sap6	ts 6 t _1 . s 6 p _6
七十一	chat1sap6yat1	ts 6 t _1 . s 6 p _6 . j 6 t _1
七十一万	chat1sap6yat1maan6	ts 6 t _1 . s 6 p _6 . j 6 t _1 . m a: n _6
七十七	chat1sap6chat1	ts 6 t _1 . s 6 p _6 . ts 6 t _1
七十二	chat1sap6yi6	ts 6 t _1 . s 6 p _6 . j i: _6
七十二万	chat1sap6yi6maan6	ts 6 t _1 . s 6 p _6 . j i: _6 . m a: n _6
七十五	chat1sap6ng5	ts 6 t _1 . s 6 p _6 . N _5	ts 6 t _1 . s 6 p _6 . m _5
七十八	chat1sap6baat3	ts 6 t _1 . s 6 p _6 . b a: t _3
七十六	chat1sap6luk6	ts 6 t _1 . s 6 p _6 . l u: k _6
七十四	chat1sap6sei3	ts 6 t _1 . s 6 p _6 . s ej _3
七十四万	chat1sap6sei3maan6	ts 6 t _1 . s 6 p _6 . s ej _3 . m a: n _6
七千	chat1chin1	ts 6 t _1 . ts i: n _1
七台河	chat1toi4ho4	ts 6 t _1 . t O:j _4 . h O: _4
七堡乡人	chat1bou2heung1yan4	ts 6 t _1 . b ow _2 . h 9: N _1 . j 6 n _4
七日	chat1yat6	ts 6 t _1 . j 6 t _6
七星华创	chat1sing1wa4chong3	ts 6 t _1 . s i: N _1 . w a: _4 . ts O: N _3
七月	chat1yut6	ts 6 t _1 . j y: t _6
七百	chat1baak3	ts 6 t _1 . b a: k _3
万	maan6	m a: n _6
三	saam1	s a: m _1
三万	saam1maan6	s a: m _1 . m a: n _6
三亿	saam1yik1	s a: m _1 . j i: k _1
三十	saam1sap6	s a: m _1 . s 6 p _6
三十一万	saam1sap6yat1maan6	s a: m _1 . s 6 p _6 . j 6 t _1 . m a: n _6
三十一日	saam1sap6yat1yat6	s a: m _1 . s 6 p _6 . j 6 t _1 . j 6 t _6
三十万	saam1sap6maan6	s a: m _1 . s 6 p _6 . m a: n _6
三十三	saam1sap6saam1	s a: m _1 . s 6 p _6 . s a: m _1
三十九	saam1sap6gau2	s a: m _1 . s 6 p _6 . g 6w _2
三十二	saam1sap6yi6	s a: m _1 . s 6 p _6 . j i: _6
三十二万	saam1sap6yi6maan6	s a: m _1 . s 6 p _6 . j i: _6 . m a: n _6
三十五	saam1sap6ng5	s a: m _1 . s 6 p _6 . N _5	s a: m _1 . s 6 p _6 . m _5
三十八	saam1sap6baat3	s a: m _1 . s 6 p _6 . b a: t _3
三十八万	saam1sap6baat3maan6	s a: m _1 . s 6 p _6 . b a: t _3 . m a: n _6
三十六	saam1sap6luk6	s a: m _1 . s 6 p _6 . l u: k _6
三十四	saam1sap6sei3	s a: m _1 . s 6 p _6 . s ej _3
三十多	saam1sap6do1	s a: m _1 . s 6 p _6 . d O: _1
三十日	saam1sap6yat6	s a: m _1 . s 6 p _6 . j 6 t _6
三千	saam1chin1	s a: m _1 . ts i: n _1
三日	saam1yat6	s a: m _1 . j 6 t _6
三月	saam1yut6	s a: m _1 . j y: t _6
三毫	saam1hou4	s a: m _1 . h ow _4
三洋	saam1yeung4	s a: m _1 . j 9: N _4
三百	saam1baak3	s a: m _1 . b a: k _3
三角	saam1gok3	s a: m _1 . g O: k _3
三言两语	saam1yin4leung5yu5	s a: m _1 . j i: n _4 . l 9: N _5 . j y: _5
上	seung6	s 9: N _6	s 9: N _5
上一次	seung6yat1chi3	s 9: N _6 . j 6 t _1 . ts i: _3
上升	seung6sing1	s 9: N _6 . s i: N _1
上午	seung6ng5	s 9: N _6 . N _5
上市	seung5si5	s 9: N _5 . s i: _5
上昼	seung6jau3	s 9: N _6 . dz 6w _3
上月	seung6yut6	s 9: N _6 . j y: t _6
上海	seung6hoi2	s 9: N _6 . h O:j _2
上网	seung5mong5	s 9: N _5 . m O: N _5
下	ha6	h a: _6
下午	ha6m5	h a: _6 . m _5	h a: _6 . N _5
下去	ha6heui3	h a: _6 . h 9y _3
下年	ha6nin2	h a: _6 . n i: n _2
下昼	ha6jau3	h a: _6 . dz 6w _3
下月	ha6yut6	h a: _6 . j y: t _6
下来	ha6loi4	h a: _6 . l O:j _4
下降	ha6gong3	h a: _6 . g O: N _3
不	bat1	b 6 t _1
不一定	bat1yat1ding6	b 6 t _1 . j 6 t _1 . d i: N _6
不停	bat1ting4	b 6 t _1 . t i: N _4
不分	bat1fan1	b 6 t _1 . f 6 n _1
不利	bat1lei6	b 6 t _1 . l ej _6
不到	bat1dou3	b 6 t _1 . d ow _3
不可	bat1ho2	b 6 t _1 . h O: _2
不同	bat1tung4	b 6 t _1 . t u: N _4
不如	bat1yu4	b 6 t _1 . j y: _4
不少	bat1siu2	b 6 t _1 . s iw _2
不尽	bat1jeun2	b 6 t _1 . dz 9: n _2
不必	bat1bit1	b 6 t _1 . b i: t _1
不惜	bat1sik1	b 6 t _1 . s i: k _1
不断	bat1dyun6	b 6 t _1 . d y: n _6
不是	bat1si6	b 6 t _1 . s i: _6
不知不觉	bat1ji1bat1gok3	b 6 t _1 . dz i: _1 . b 6 t _1 . g O: k _3
不能	bat1nang4	b 6 t _1 . n 6 N _4
不要	bat1yiu3	b 6 t _1 . j iw _3
不过	bat1gwo3	b 6 t _1 . gw O: _3
与	yu2	j y: _2
与世无争	yu5sai3mou4jang1	j y: _5 . s 6j _3 . m ow _4 . dz 6 N _1
与人为善	yu5yan4wai4sin6	j y: _5 . j 6 n _4 . w 6j _4 . s i: n _6
丑化	chau2fa3	ts 6w _2 . f a: _3
丑陋	chau2lau6	ts 6w _2 . l 6w _6
专业	jyun1yip6	dz y: n _1 . j i: p _6
专家	jyun1ga1	dz y: n _1 . g a: _1
专门	jyun1mun4	dz y: n _1 . m u: n _4
世界	sai3gaai5	s 6j _3 . g a:j _5
世界末日	sai3gaai3mut6yat6	s 6j _3 . g a:j _3 . m u: t _6 . j 6 t _6
世纪东方	sai3gei2dung1fong1	s 6j _3 . g ej _2 . d u: N _1 . f O: N _1
世贸	sai3mau6	s 6j _3 . m 6w _6
世间	sai3gaan1	s 6j _3 . g a: n _1
业	yip6	j i: p _6
业务	yip6mou6	j i: p _6 . m ow _6
业界	yip6gaai3	j i: p _6 . g a:j _3
东京	dung1ging1	d u: N _1 . g i: N _1
东区	dung1keui1	d u: N _1 . k 9y _1
东南亚	dung1naam4nga3	d u: N _1 . n a: m _4 . N a: _3	d u: N _1 . n a: m _4 . a: _3
东家	dung1ga1	d u: N _1 . g a: _1
东方	dung1fong1	d u: N _1 . f O: N _1
东方人	dung1fong1yan4	d u: N _1 . f O: N _1 . j 6 n _4
东西	dung1sai1	d u: N _1 . s 6j _1
东西方	dung1sai1fong1	d u: N _1 . s 6j _1 . f O: N _1
两	leung5	l 9: N _5
两亿	leung5yik1	l 9: N _5 . j i: k _1
两千	leung5chin1	l 9: N _5 . ts i: n _1
严格	yim4gaak3	j i: m _4 . g a: k _3	j i: n _4 . g a: k _3
严肃	yim4suk1	j i: m _4 . s u: k _1	j i: n _4 . s u: k _1
严重	yim4jung6	j i: m _4 . dz u: N _6	j i: n _4 . dz u: N _6
个	go3	g O: _3
个别	go3bit6	g O: _3 . b i: t _6
个性	go3sing3	g O: _3 . s i: N _3
个案	go3ngon3	g O: _3 . N O: n _3	g O: _3 . O: n _3
丫呜	a1wu1	N a: _1 . w u: _1	a: _1 . w u: _1
中	jung1	dz u: N _1	dz u: N _3
中世纪	jung1sai3gei2	dz u: N _1 . s 6j _3 . g ej _2
中信	jung1seun3	dz u: N _1 . s 9: n _3
中华	jung1wa4	dz u: N _1 . w a: _4
中国	jung1gok3	dz u: N _1 . g O: k _3	dz u: N _1 . gw O: k _3
中国人	jung1gok3yan4	dz u: N _1 . g O: k _3 . j 6 n _4	dz u: N _1 . gw O: k _3 . j 6 n _4
中山	jung1saan1	dz u: N _1 . s a: n _1
中心	jung1sam1	dz u: N _1 . s 6 m _1
中方	jung1fong1	dz u: N _1 . f O: N _1
中欧	jung1au1	dz u: N _1 . 6w _1
中毒	jung3duk6	dz u: N _3 . d u: k _6
中牧	jung1muk6	dz u: N _1 . m u: k _6
中秋	jung1chau1	dz u: N _1 . ts 6w _1
中粮	jung1leung4	dz u: N _1 . l 9: N _4
中美	jung1mei5	dz u: N _1 . m ej _5
中部	jung1bou6	dz u: N _1 . b ow _6
临	lam4	l 6 m _4	l 6 n _4
临沧	lam4chong1	l 6 m _4 . ts O: N _1
临渊取水	lam4yun1cheui2seui2	l 6 m _4 . j y: n _1 . ts 9y _2 . s 9y _2
丹东	daan1dung1	d a: n _1 . d u: N _1
为	wai4	w 6j _4	w 6j _6
为什么	wai6sam6mo1	w 6j _6 . s 6 m _6 . m O: _1
为何	wai6ho4	w 6j _6 . h O: _4
主	jyu2	dz y: _2
主动	jyu2dung6	dz y: _2 . d u: N _6
主场	jyu2cheung4	dz y: _2 . ts 9: N _4
主席	jyu2jik6	dz y: _2 . dz i: k _6
主管	jyu2gun2	dz y: _2 . g u: n _2
主要	jyu2yiu3	dz y: _2 . j iw _3
主题	jyu2tai4	dz y: _2 . t 6j _4
举	geui2	g 9y _2
举动	geui2dung6	g 9y _2 . d u: N _6
举手之劳	geui2sau2ji1lou4	g 9y _2 . s 6w _2 . dz i: _1 . l ow _4
举足轻重	geui2juk1heng1chung5	g 9y _2 . dz u: k _1 . h E: N _1 . ts u: N _5
乃	naai5	n a:j _5
乃是	naai5si6	n a:j _5 . s i: _6
久	gau2	g 6w _2
义务	yi6mou6	j i: _6 . m ow _6
之	ji1	dz i: _1
之中	ji1jung1	dz i: _1 . dz u: N _1
之前	ji1chin4	dz i: _1 . ts i: n _4
之外	ji1ngoi6	dz i: _1 . N O:j _6
之间	ji1gaan1	dz i: _1 . g a: n _1
乌克兰	wu1hak1laan4	w u: _1 . h 6 k _1 . l a: n _4
乏味	fat6mei6	f 6 t _6 . m ej _6
乐	lok6	l O: k _6	N O: k _6
乖	gwaai1	gw a:j _1
九	gau2	g 6w _2
九万	gau2maan6	g 6w _2 . m a: n _6
九十	gau2sap6	g 6w _2 . s 6 p _6
九十一	gau2sap6yat1	g 6w _2 . a: _6 . j 6 t _1	g 6w _2 . s 6 p _6 . j 6 t _1
九十三	gau2sap6saam1	g 6w _2 . a: _6 . s a: m _1	g 6w _2 . s 6 p _6 . s a: m _1
九十九	gau2sap6gau2	g 6w _2 . s 6 p _6 . g 6w _2
九十二	gau2sap6yi6	g 6w _2 . a: _6 . j i: _6	g 6w _2 . s 6 p _6 . j i: _6
九十八	gau2sap6baat3	g 6w _2 . a: _6 . b a: t _3	g 6w _2 . s 6 p _6 . b a: t _3
九十四	gau2sap6sei3	g 6w _2 . a: _6 . s ej _3	g 6w _2 . s 6 p _6 . s ej _3
九十四万	gau2sap6sei3maan6	g 6w _2 . a: _6 . s ej _3 . m a: n _6	g 6w _2 . s 6 p _6 . s ej _3 . m a: n _6
九千	gau2chin1	g 6w _2 . ts i: n _1
九日	gau2yat6	g 6w _2 . j 6 t _6
九月	gau2yut6	g 6w _2 . j y: t _6
九牧王	gau2muk6wong4	g 6w _2 . m u: k _6 . w O: N _4
九百	gau2baak3	g 6w _2 . b a: k _3
也	ya5	j a: _5
也是	ya5si6	j a: _5 . s i: _6
也许	ya5heui2	j a: _5 . h 9y _2
乡	heung1	h 9: N _1
书	syu1	s y: _1
书法家	syu1faat3ga1	s y: _1 . f a: t _3 . g a: _1
书籍	syu1jik6	s y: _1 . dz i: k _6
了	liu5	l iw _5
了无挂念	liu5mou4gwa3nim6	l iw _5 . m ow _4 . gw a: _3 . l i: m _6	l iw _5 . m ow _4 . gw a: _3 . n i: m _6
了解	liu5gaai2	l iw _5 . g a:j _2
争取	jang1cheui2	dz 6 N _1 . ts 9y _2
争辩	jang1bin6	dz 6 N _1 . b i: n _6
事	si6	s i: _6
事业	si6yip6	s i: _6 . j i: p _6
事件	si6gin2	s i: _6 . g i: n _2
事半功倍	si6bun3gung1pui5	s i: _6 . b u: n _3 . g u: N _1 . p u:j _5
事实	si6sat6	s i: _6 . s 6 t _6
事情	si6ching4	s i: _6 . ts i: N _4
事故	si6gu3	s i: _6 . g u: _3
事无大小	si6mou4daai6siu2	s i: _6 . m ow _4 . d a:j _6 . s iw _2
二	yi6	j i: _6
二万	yi6maan6	j i: _6 . m a: n _6
二十	yi6sap6	j i: _6 . s 6 p _6
二十一	yi6sap6yat1	j i: _6 . s 6 p _6 . j 6 t _1
二十一万	yi6sap6yat1maan6	j i: _6 . s 6 p _6 . j 6 t _1 . m a: n _6
二十一日	yi6sap6yat1yat6	j i: _6 . s 6 p _6 . j 6 t _1 . j 6 t _6
二十七	yi6sap6chat1	j i: _6 . s 6 p _6 . ts 6 t _1
二十七日	yi6sap6chat1yat6	j i: _6 . s 6 p _6 . ts 6 t _1 . j 6 t _6
二十三日	yi6sap6saam1yat6	j i: _6 . s 6 p _6 . s a: m _1 . j 6 t _6
二十九万	yi6sap6gau2maan6	j i: _6 . s 6 p _6 . g 6w _2 . m a: n _6
二十九日	yi6sap6gau2yat6	j i: _6 . s 6 p _6 . g 6w _2 . j 6 t _6
二十二	yi6sap6yi6	j i: _6 . s 6 p _6 . j i: _6
二十二日	yi6sap6yi6yat6	j i: _6 . s 6 p _6 . j i: _6 . j 6 t _6
二十五	yi6sap6m5	j i: _6 . s 6 p _6 . m _5
二十五日	yi6sap6ng5yat6	j i: _6 . s 6 p _6 . N _5 . j 6 t _6	j i: _6 . s 6 p _6 . m _5 . j 6 t _6
二十八	yi6sap6baat3	j i: _6 . s 6 p _6 . b a: t _3
二十八号	yi6sap6baat3hou2	j i: _6 . s 6 p _6 . b a: t _3 . h ow _2
二十八日	yi6sap6baat3yat6	j i: _6 . s 6 p _6 . b a: t _3 . j 6 t _6
二十六	yi6sap6luk6	j i: _6 . s 6 p _6 . l u: k _6
二十六日	yi6sap6luk6yat6	j i: _6 . s 6 p _6 . l u: k _6 . j 6 t _6
二十四	yi6sap6sei3	j i: _6 . s 6 p _6 . s ej _3
二十四日	yi6sap6sei3yat6	j i: _6 . s 6 p _6 . s ej _3 . j 6 t _6
二十日	yi6sap6yat6	j i: _6 . s 6 p _6 . j 6 t _6
二十零九千	yi6sap6leng4gau2chin0	j i: _6 . s 6 p _6 . l E: N _4 . g 6w _2 . ts i: n _1
二千	yi6chin1	j i: _6 . ts i: n _1
二千万	yi6chin1maan6	j i: _6 . ts i: n _1 . m a: n _6
二战	yi6jin3	j i: _6 . dz i: n _3
二日	yi6yat6	j i: _6 . j 6 t _6
二月	yi6yut6	j i: _6 . j y: t _6
二百	yi6baak3	j i: _6 . b a: k _3
二零一一年	yi6leng4yat1yat1nin4	j i: _6 . l E: N _4 . j 6 t _1 . j 6 t _1 . n i: n _4
二零一七年	yi6leng4yat1chat1nin4	j i: _6 . l E: N _4 . j 6 t _1 . ts 6 t _1 . n i: n _4
二零一三年	yi6leng4yat1saam0nin4	j i: _6 . l E: N _4 . j 6 t _1 . s a: m _1 . n i: n _4
二零一零年	yi6leng4yat1leng4nin4	j i: _6 . l E: N _4 . j 6 t _1 . l E: N _4 . n i: n _4
二零三二年	yi6ling4saam1yi6nin4	j i: _6 . l i: N _4 . s a: m _1 . j i: _6 . l i: n _4	j i: _6 . l i: N _4 . s a: m _1 . j i: _6 . n i: n _4
二零三四年	yi6leng4saam0sei3nin4	j i: _6 . l E: N _4 . s a: m _1 . s ej _3 . n i: n _4
二零二一年	yi6ling4yi6yat1nin4	j i: _6 . l i: N _4 . j i: _6 . j 6 t _1 . l i: n _4	j i: _6 . l i: N _4 . j i: _6 . j 6 t _1 . n i: n _4
二零二七年	yi6leng4yi6chat1nin4	j i: _6 . l E: N _4 . j i: _6 . ts 6 t _1 . n i: n _4
二零二三年	yi6ling4yi6saam1nin4	j i: _6 . l i: N _4 . j i: _6 . s a: m _1 . l i: n _4	j i: _6 . l i: N _4 . j i: _6 . s a: m _1 . n i: n _4
二零二二年	yi6leng4yi6yi6nin4	j i: _6 . l E: N _4 . j i: _6 . j i: _6 . n i: n _4
二零二五年	yi6leng4yi6ng5nin4	j i: _6 . l E: N _4 . j i: _6 . N _5 . n i: n _4	j i: _6 . l E: N _4 . j i: _6 . m _5 . n i: n _4
二零二六年	yi6leng4yi6luk6nin4	j i: _6 . l E: N _4 . j i: _6 . l u: k _6 . n i: n _4
二零二四年	yi6leng4yi6sei3nin4	j i: _6 . l E: N _4 . j i: _6 . s ej _3 . n i: n _4
二零四一年	yi6leng4sei3yat1nin4	j i: _6 . l E: N _4 . s ej _3 . j 6 t _1 . n i: n _4
二零四五年	yi6leng4sei3ng5nin4	j i: _6 . l E: N _4 . s ej _3 . N _5 . n i: n _4	j i: _6 . l E: N _4 . s ej _3 . m _5 . n i: n _4
二零四八年	yi6ling4sei3baat3nin4	j i: _6 . l i: N _4 . s ej _3 . b a: t _3 . l i: n _4	j i: _6 . l i: N _4 . s ej _3 . b a: t _3 . n i: n _4
二零四六年	yi6leng4sei3luk6nin4	j i: _6 . l E: N _4 . s ej _3 . l u: k _6 . n i: n _4
二零四四年	yi6leng4sei3sei3nin4	j i: _6 . l E: N _4 . s ej _3 . s ej _3 . n i: n _4
二零零七年	yi6leng4leng4chat1nin4	j i: _6 . l E: N _4 . l E: N _4 . ts 6 t _1 . n i: n _4
二零零三年	yi6leng4leng4saam0nin4	j i: _6 . l E: N _4 . l E: N _4 . s a: m _1 . n i: n _4
二零零九年	yi6leng4leng4gau2nin4	j i: _6 . l E: N _4 . l E: N _4 . g 6w _2 . n i: n _4
二零零二年	yi6leng4leng4yi6nin4	j i: _6 . l E: N _4 . l E: N _4 . j i: _6 . n i: n _4
二零零四年	yi6leng4leng4sei3nin4	j i: _6 . l E: N _4 . l E: N _4 . s ej _3 . n i: n _4
二零零零年	yi6ling4ling4ling4nin4	j i: _6 . l i: N _4 . l i: N _4 . l i: N _4 . l i: n _4	j i: _6 . l i: N _4 . l i: N _4 . l i: N _4 . n i: n _4
于	yu1	j y: _1
云	wan4	w 6 n _4
云南	wan4naam4	w 6 n _4 . n a: m _4
云浮市	wan4fau4si5	w 6 n _4 . f 6w _4 . s i: _5
云达不来梅	wan4daat6bat1loi4mui4	w 6 n _4 . d a: t _6 . b 6 t _1 . l O:j _4 . m u:j _4
云集	wan4jaap6	w 6 n _4 . dz a: p _6
互	wu6	w u: _6
互联	wu6lyun4	w u: _6 . l y: n _4
五	m5	m _5	N _5
五一	ng5yat1	N _5 . j 6 t _1	m _5 . j 6 t _1
五一劳动节	ng5yat1lou4dung6jit3	N _5 . j 6 t _1 . l ow _4 . d u: N _6 . dz i: t _3	m _5 . j 6 t _1 . l ow _4 . d u: N _6 . dz i: t _3
五万	m5maan6	m _5 . m a: n _6	N _5 . m a: n _6
五十	m5sap6	m _5 . s 6 p _6	N _5 . s 6 p _6
五十一	ng5sap6yat1	N _5 . s 6 p _6 . j 6 t _1	m _5 . s 6 p _6 . j 6 t _1
五十一万	m5sap6yat1maan6	m _5 . s 6 p _6 . j 6 t _1 . m a: n _6
五十七	ng5sap6chat1	N _5 . s 6 p _6 . ts 6 t _1	m _5 . s 6 p _6 . ts 6 t _1
五十七万	ng5sap6chat1maan6	N _5 . s 6 p _6 . ts 6 t _1 . m a: n _6	m _5 . s 6 p _6 . ts 6 t _1 . m a: n _6
五十万	ng5sap6maan6	N _5 . s 6 p _6 . m a: n _6	m _5 . s 6 p _6 . m a: n _6
五十三	ng5sap6saam1	N _5 . s 6 p _6 . s a: m _1	m _5 . s 6 p _6 . s a: m _1
