outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_101_50409_20111204_154943_C4_scripted.sph	50409	20111204	154943	50409	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	30	CMCC	Philips
BABEL_BP_101_38879_20111029_191804_S2_scripted.sph	38879	20111029	191804	38879	inLine	Northern_Pearl_River_Delta	M	STREET	22	CMCC	iPhone
BABEL_BP_101_88464_20111119_192018_D3_scripted.sph	88464	20111119	192018	88464	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	27	CMCC	Philips
BABEL_BP_101_63459_20111120_162202_L3_scripted.sph	63459	20111120	162202	63459	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	K-Touch
BABEL_BP_101_17933_20111120_202721_M1_scripted.sph	17933	20111120	202721	17933	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	27	CMCC	Nokia
BABEL_BP_101_37285_20111028_000253_O2_scripted.sph	37285	20111028	000253	37285	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_LANDLINE	35	China_Telecom	ZTE
BABEL_BP_101_63459_20111120_162142_S4_scripted.sph	63459	20111120	162142	63459	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	K-Touch
BABEL_BP_101_17933_20111120_202542_S7_scripted.sph	17933	20111120	202542	17933	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	27	CMCC	Nokia
BABEL_BP_101_96438_20111125_192800_T1_scripted.sph	96438	20111125	192800	96438	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	35	China_Unicom	Nokia
BABEL_BP_101_66964_20111117_171954_S6_scripted.sph	66964	20111117	171954	66964	inLine	Central_Guangdong	M	HOME_OFFICE_MOBILE	43	CMCC	HTC
BABEL_BP_101_58190_20111124_201246_O6_scripted.sph	58190	20111124	201246	58190	inLine	Northern_Guangdong	M	CAR_KIT	40	CMCC	Philips
BABEL_BP_101_98219_20111125_153728_S9_scripted.sph	98219	20111125	153728	98219	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	25	CMCC	Philips
BABEL_BP_101_40439_20111203_180334_D3_scripted.sph	40439	20111203	180334	40439	inLine	Central_Guangdong	F	CAR_KIT	17	CMCC	Nokia
BABEL_BP_101_86016_20111118_134541_O7_scripted.sph	86016	20111118	134541	86016	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	China_Unicom	Motorola
BABEL_BP_101_21367_20111126_125943_O2_scripted.sph	21367	20111126	125943	21367	inLine	Northern_Guangdong	M	CAR_KIT	47	China_Unicom	Nokia
BABEL_BP_101_92321_20111125_150225_O6_scripted.sph	92321	20111125	150225	92321	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	28	CMCC	Philips
BABEL_BP_101_76944_20111114_203901_C5_scripted.sph	76944	20111114	203901	76944	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_MOBILE	21	CMCC	Gaoke
BABEL_BP_101_37285_20111028_000210_O1_scripted.sph	37285	20111028	000210	37285	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_LANDLINE	35	China_Telecom	ZTE
BABEL_BP_101_53985_20111027_131548_I2_scripted.sph	53985	20111027	131548	53985	inLine	Guangxi_and_Western_Guangdong	F	VEHICLE	31	CMCC	Samsung
BABEL_BP_101_53985_20111027_131947_N1_scripted.sph	53985	20111027	131947	53985	inLine	Guangxi_and_Western_Guangdong	F	VEHICLE	31	CMCC	Samsung
BABEL_BP_101_92321_20111125_150319_D3_scripted.sph	92321	20111125	150319	92321	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	28	CMCC	Philips
BABEL_BP_101_69049_20111101_220910_S0_scripted.sph	69049	20111101	220910	69049	inLine	Northern_Guangdong	F	HOME_OFFICE_MOBILE	51	CMCC	Nokia
BABEL_BP_101_53985_20111027_131642_O6_scripted.sph	53985	20111027	131642	53985	inLine	Guangxi_and_Western_Guangdong	F	VEHICLE	31	CMCC	Samsung
BABEL_BP_101_95542_20111026_182823_R1_scripted.sph	95542	20111026	182823	95542	inLine	Guangxi_and_Western_Guangdong	M	STREET	46	CMCC	LG
BABEL_BP_101_81486_20111027_153500_C6_scripted.sph	81486	20111027	153500	81486	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	57	CMCC	Philips
BABEL_BP_101_40439_20111203_180747_I1_scripted.sph	40439	20111203	180747	40439	inLine	Central_Guangdong	F	CAR_KIT	17	CMCC	Nokia
BABEL_BP_101_14054_20111119_155056_D1_scripted.sph	14054	20111119	155056	14054	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	CMCC	Samsung
BABEL_BP_101_68129_20111120_131346_O3_scripted.sph	68129	20111120	131346	68129	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_LANDLINE	31	China_Tietong	Telifeng
BABEL_BP_101_69049_20111101_220459_O3_scripted.sph	69049	20111101	220459	69049	inLine	Northern_Guangdong	F	HOME_OFFICE_MOBILE	51	CMCC	Nokia
BABEL_BP_101_94696_20111203_185943_C5_scripted.sph	94696	20111203	185943	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_59028_20111130_194621_A1_scripted.sph	59028	20111130	194621	59028	inLine	Northern_Guangdong	M	HOME_OFFICE_LANDLINE	25	China_Tietong	Telifeng
BABEL_BP_101_74395_20111117_132429_S4_scripted.sph	74395	20111117	132429	74395	inLine	Central_Guangdong	F	HOME_OFFICE_LANDLINE	38	China_Telecom	BBK
BABEL_BP_101_23571_20111128_225757_C1_scripted.sph	23571	20111128	225757	23571	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_LANDLINE	48	China_Telecom	BBK
BABEL_BP_101_58190_20111124_201640_I1_scripted.sph	58190	20111124	201640	58190	inLine	Northern_Guangdong	M	CAR_KIT	40	CMCC	Philips
BABEL_BP_101_86016_20111118_134412_T2_scripted.sph	86016	20111118	134412	86016	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	China_Unicom	Motorola
BABEL_BP_101_78879_20111102_131240_T3_scripted.sph	78879	20111102	131240	78879	inLine	Northern_Guangdong	M	STREET	22	China_Unicom	Nokia
BABEL_BP_101_98219_20111125_153935_SA_scripted.sph	98219	20111125	153935	98219	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	25	CMCC	Philips
BABEL_BP_101_16617_20111030_141001_T1_scripted.sph	16617	20111030	141001	16617	inLine	Northern_Guangdong	M	VEHICLE	28	CMCC	HTC
BABEL_BP_101_92628_20111102_125224_T2_scripted.sph	92628	20111102	125224	92628	inLine	Central_Guangdong	F	CAR_KIT	42	CMCC	Philips
BABEL_BP_101_38108_20111125_150155_S7_scripted.sph	38108	20111125	150155	38108	inLine	Northern_Guangdong	M	STREET	28	CMCC	Nokia
BABEL_BP_101_77244_20111127_004427_SB_scripted.sph	77244	20111127	004427	77244	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	33	CMCC	HTC
BABEL_BP_101_58357_20111122_153321_SA_scripted.sph	58357	20111122	153321	58357	inLine	Guangxi_and_Western_Guangdong	M	STREET	31	CMCC	Nokia
BABEL_BP_101_96630_20111104_003311_D3_scripted.sph	96630	20111104	003311	96630	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	46	China_Telecom	Coolpad
BABEL_BP_101_76944_20111114_203850_S5_scripted.sph	76944	20111114	203850	76944	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_MOBILE	21	CMCC	Gaoke
BABEL_BP_101_14729_20111114_184448_S7_scripted.sph	14729	20111114	184448	14729	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_MOBILE	23	CMCC	HTC
BABEL_BP_101_88464_20111119_192150_C3_scripted.sph	88464	20111119	192150	88464	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	27	CMCC	Philips
BABEL_BP_101_14054_20111119_161109_S6_scripted.sph	14054	20111119	161109	14054	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	CMCC	Samsung
BABEL_BP_101_78879_20111102_130552_S7_scripted.sph	78879	20111102	130552	78879	inLine	Northern_Guangdong	M	STREET	22	China_Unicom	Nokia
BABEL_BP_101_91406_20111114_215604_L3_scripted.sph	91406	20111114	215604	91406	inLine	Northern_Guangdong	F	HOME_OFFICE_MOBILE	46	CMCC	Nokia
BABEL_BP_101_96630_20111104_002949_T1_scripted.sph	96630	20111104	002949	96630	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	46	China_Telecom	Coolpad
BABEL_BP_101_96438_20111125_192943_C4_scripted.sph	96438	20111125	192943	96438	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	35	China_Unicom	Nokia
BABEL_BP_101_74395_20111117_132539_S2_scripted.sph	74395	20111117	132539	74395	inLine	Central_Guangdong	F	HOME_OFFICE_LANDLINE	38	China_Telecom	BBK
BABEL_BP_101_40123_20111129_180206_S4_scripted.sph	40123	20111129	180206	40123	inLine	Northern_Guangdong	M	VEHICLE	38	CMCC	Nokia
BABEL_BP_101_66964_20111117_171822_SC_scripted.sph	66964	20111117	171822	66964	inLine	Central_Guangdong	M	HOME_OFFICE_MOBILE	43	CMCC	HTC
BABEL_BP_101_81486_20111027_154202_L3_scripted.sph	81486	20111027	154202	81486	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	57	CMCC	Philips
BABEL_BP_101_53985_20111027_131653_S1_scripted.sph	53985	20111027	131653	53985	inLine	Guangxi_and_Western_Guangdong	F	VEHICLE	31	CMCC	Samsung
BABEL_BP_101_94696_20111203_185931_S5_scripted.sph	94696	20111203	185931	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_11694_20111204_202010_SA_scripted.sph	11694	20111204	202010	11694	inLine	Guangxi_and_Western_Guangdong	M	VEHICLE	30	CMCC	Flyin
BABEL_BP_101_66964_20111117_172003_T3_scripted.sph	66964	20111117	172003	66964	inLine	Central_Guangdong	M	HOME_OFFICE_MOBILE	43	CMCC	HTC
BABEL_BP_101_91406_20111114_215617_SA_scripted.sph	91406	20111114	215617	91406	inLine	Northern_Guangdong	F	HOME_OFFICE_MOBILE	46	CMCC	Nokia
BABEL_BP_101_14054_20111119_160759_O5_scripted.sph	14054	20111119	160759	14054	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	CMCC	Samsung
BABEL_BP_101_38879_20111029_191442_C4_scripted.sph	38879	20111029	191442	38879	inLine	Northern_Pearl_River_Delta	M	STREET	22	CMCC	iPhone
BABEL_BP_101_96630_20111104_003321_S4_scripted.sph	96630	20111104	003321	96630	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	46	China_Telecom	Coolpad
BABEL_BP_101_94696_20111203_190014_T2_scripted.sph	94696	20111203	190014	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_38879_20111029_191723_SA_scripted.sph	38879	20111029	191723	38879	inLine	Northern_Pearl_River_Delta	M	STREET	22	CMCC	iPhone
BABEL_BP_101_14729_20111114_184507_L1_scripted.sph	14729	20111114	184507	14729	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_MOBILE	23	CMCC	HTC
BABEL_BP_101_59028_20111130_194049_O2_scripted.sph	59028	20111130	194049	59028	inLine	Northern_Guangdong	M	HOME_OFFICE_LANDLINE	25	China_Tietong	Telifeng
BABEL_BP_101_98219_20111125_154114_N1_scripted.sph	98219	20111125	154114	98219	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	25	CMCC	Philips
BABEL_BP_101_69049_20111101_220452_C2_scripted.sph	69049	20111101	220452	69049	inLine	Northern_Guangdong	F	HOME_OFFICE_MOBILE	51	CMCC	Nokia
BABEL_BP_101_16617_20111030_141604_A1_scripted.sph	16617	20111030	141604	16617	inLine	Northern_Guangdong	M	VEHICLE	28	CMCC	HTC
BABEL_BP_101_74395_20111117_132358_S5_scripted.sph	74395	20111117	132358	74395	inLine	Central_Guangdong	F	HOME_OFFICE_LANDLINE	38	China_Telecom	BBK
BABEL_BP_101_16617_20111030_141409_T2_scripted.sph	16617	20111030	141409	16617	inLine	Northern_Guangdong	M	VEHICLE	28	CMCC	HTC
BABEL_BP_101_96438_20111125_192936_I2_scripted.sph	96438	20111125	192936	96438	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	35	China_Unicom	Nokia
BABEL_BP_101_95542_20111026_182843_S7_scripted.sph	95542	20111026	182843	95542	inLine	Guangxi_and_Western_Guangdong	M	STREET	46	CMCC	LG
BABEL_BP_101_82217_20111115_185725_C4_scripted.sph	82217	20111115	185725	82217	inLine	Central_Guangdong	F	CAR_KIT	54	CMCC	Philips
BABEL_BP_101_81486_20111027_154113_S5_scripted.sph	81486	20111027	154113	81486	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	57	CMCC	Philips
BABEL_BP_101_17933_20111120_203329_S6_scripted.sph	17933	20111120	203329	17933	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	27	CMCC	Nokia
BABEL_BP_101_80008_20111031_165758_L2_scripted.sph	80008	20111031	165758	80008	inLine	Guangxi_and_Western_Guangdong	M	VEHICLE	31	CMCC	Nokia
BABEL_BP_101_14729_20111114_184339_O1_scripted.sph	14729	20111114	184339	14729	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_MOBILE	23	CMCC	HTC
BABEL_BP_101_14054_20111119_161126_I1_scripted.sph	14054	20111119	161126	14054	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	CMCC	Samsung
BABEL_BP_101_92628_20111102_125247_SA_scripted.sph	92628	20111102	125247	92628	inLine	Central_Guangdong	F	CAR_KIT	42	CMCC	Philips
BABEL_BP_101_76944_20111114_203730_L2_scripted.sph	76944	20111114	203730	76944	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_MOBILE	21	CMCC	Gaoke
BABEL_BP_101_58357_20111122_153023_L1_scripted.sph	58357	20111122	153023	58357	inLine	Guangxi_and_Western_Guangdong	M	STREET	31	CMCC	Nokia
BABEL_BP_101_82217_20111115_185406_D1_scripted.sph	82217	20111115	185406	82217	inLine	Central_Guangdong	F	CAR_KIT	54	CMCC	Philips
BABEL_BP_101_94696_20111203_190113_SC_scripted.sph	94696	20111203	190113	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_95542_20111026_182804_O2_scripted.sph	95542	20111026	182804	95542	inLine	Guangxi_and_Western_Guangdong	M	STREET	46	CMCC	LG
BABEL_BP_101_81486_20111027_153649_C4_scripted.sph	81486	20111027	153649	81486	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	57	CMCC	Philips
BABEL_BP_101_17933_20111120_203220_O7_scripted.sph	17933	20111120	203220	17933	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	27	CMCC	Nokia
BABEL_BP_101_63459_20111120_161900_I2_scripted.sph	63459	20111120	161900	63459	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	K-Touch
BABEL_BP_101_53985_20111027_131956_S6_scripted.sph	53985	20111027	131956	53985	inLine	Guangxi_and_Western_Guangdong	F	VEHICLE	31	CMCC	Samsung
BABEL_BP_101_20408_20111101_202130_O3_scripted.sph	20408	20111101	202130	20408	inLine	Northern_Guangdong	M	PUBLIC_PLACE	18	CMCC	Nokia
BABEL_BP_101_40123_20111129_175605_C2_scripted.sph	40123	20111129	175605	40123	inLine	Northern_Guangdong	M	VEHICLE	38	CMCC	Nokia
BABEL_BP_101_23571_20111128_225848_C4_scripted.sph	23571	20111128	225848	23571	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_LANDLINE	48	China_Telecom	BBK
BABEL_BP_101_74395_20111117_132518_SC_scripted.sph	74395	20111117	132518	74395	inLine	Central_Guangdong	F	HOME_OFFICE_LANDLINE	38	China_Telecom	BBK
BABEL_BP_101_56648_20111126_181431_S3_scripted.sph	56648	20111126	181431	56648	inLine	Northern_Guangdong	M	PUBLIC_PLACE	29	CMCC	Huawei
BABEL_BP_101_14729_20111114_184517_C2_scripted.sph	14729	20111114	184517	14729	inLine	Guangxi_and_Western_Guangdong	F	HOME_OFFICE_MOBILE	23	CMCC	HTC
BABEL_BP_101_36424_20111119_142914_D2_scripted.sph	36424	20111119	142914	36424	inLine	Southern_Pearl_River_Delta	F	CAR_KIT	47	China_Unicom	Samsung
BABEL_BP_101_94696_20111203_185542_T1_scripted.sph	94696	20111203	185542	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_92628_20111102_125216_S4_scripted.sph	92628	20111102	125216	92628	inLine	Central_Guangdong	F	CAR_KIT	42	CMCC	Philips
BABEL_BP_101_77244_20111127_004447_S1_scripted.sph	77244	20111127	004447	77244	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	33	CMCC	HTC
BABEL_BP_101_40123_20111129_175355_D1_scripted.sph	40123	20111129	175355	40123	inLine	Northern_Guangdong	M	VEHICLE	38	CMCC	Nokia
BABEL_BP_101_40439_20111203_180318_S5_scripted.sph	40439	20111203	180318	40439	inLine	Central_Guangdong	F	CAR_KIT	17	CMCC	Nokia
BABEL_BP_101_15873_20111026_125921_C3_scripted.sph	15873	20111026	125921	15873	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	35	China_Telecom	Nokia
BABEL_BP_101_98086_20111129_155330_S6_scripted.sph	98086	20111129	155330	98086	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	47	CMCC	Nokia
BABEL_BP_101_15873_20111026_130029_S6_scripted.sph	15873	20111026	130029	15873	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	35	China_Telecom	Nokia
BABEL_BP_101_37285_20111028_000455_L2_scripted.sph	37285	20111028	000455	37285	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_LANDLINE	35	China_Telecom	ZTE
BABEL_BP_101_92628_20111102_124815_O1_scripted.sph	92628	20111102	124815	92628	inLine	Central_Guangdong	F	CAR_KIT	42	CMCC	Philips
BABEL_BP_101_40123_20111129_180327_O4_scripted.sph	40123	20111129	180327	40123	inLine	Northern_Guangdong	M	VEHICLE	38	CMCC	Nokia
BABEL_BP_101_56648_20111126_181339_C3_scripted.sph	56648	20111126	181339	56648	inLine	Northern_Guangdong	M	PUBLIC_PLACE	29	CMCC	Huawei
BABEL_BP_101_23571_20111128_230057_C5_scripted.sph	23571	20111128	230057	23571	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_LANDLINE	48	China_Telecom	BBK
BABEL_BP_101_96630_20111104_002925_D1_scripted.sph	96630	20111104	002925	96630	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	46	China_Telecom	Coolpad
BABEL_BP_101_11694_20111204_201414_R1_scripted.sph	11694	20111204	201414	11694	inLine	Guangxi_and_Western_Guangdong	M	VEHICLE	30	CMCC	Flyin
BABEL_BP_101_53985_20111027_131732_D3_scripted.sph	53985	20111027	131732	53985	inLine	Guangxi_and_Western_Guangdong	F	VEHICLE	31	CMCC	Samsung
BABEL_BP_101_44836_20111119_152654_T3_scripted.sph	44836	20111119	152654	44836	inLine	Southern_Pearl_River_Delta	F	CAR_KIT	20	CMCC	Apple
BABEL_BP_101_94696_20111203_190124_D2_scripted.sph	94696	20111203	190124	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_74395_20111117_132616_A1_scripted.sph	74395	20111117	132616	74395	inLine	Central_Guangdong	F	HOME_OFFICE_LANDLINE	38	China_Telecom	BBK
BABEL_BP_101_22979_20111129_140634_S9_scripted.sph	22979	20111129	140634	22979	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	41	CMCC	Nokia
BABEL_BP_101_20408_20111101_202146_C4_scripted.sph	20408	20111101	202146	20408	inLine	Northern_Guangdong	M	PUBLIC_PLACE	18	CMCC	Nokia
BABEL_BP_101_94696_20111203_190208_C3_scripted.sph	94696	20111203	190208	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_38879_20111029_191952_S8_scripted.sph	38879	20111029	191952	38879	inLine	Northern_Pearl_River_Delta	M	STREET	22	CMCC	iPhone
BABEL_BP_101_56648_20111126_181015_M1_scripted.sph	56648	20111126	181015	56648	inLine	Northern_Guangdong	M	PUBLIC_PLACE	29	CMCC	Huawei
BABEL_BP_101_38108_20111125_150548_SC_scripted.sph	38108	20111125	150548	38108	inLine	Northern_Guangdong	M	STREET	28	CMCC	Nokia
BABEL_BP_101_96630_20111104_003111_I2_scripted.sph	96630	20111104	003111	96630	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	46	China_Telecom	Coolpad
BABEL_BP_101_53985_20111027_131534_C2_scripted.sph	53985	20111027	131534	53985	inLine	Guangxi_and_Western_Guangdong	F	VEHICLE	31	CMCC	Samsung
BABEL_BP_101_81486_20111027_153626_C2_scripted.sph	81486	20111027	153626	81486	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	57	CMCC	Philips
BABEL_BP_101_95542_20111026_183534_T3_scripted.sph	95542	20111026	183534	95542	inLine	Guangxi_and_Western_Guangdong	M	STREET	46	CMCC	LG
BABEL_BP_101_38879_20111029_191659_T2_scripted.sph	38879	20111029	191659	38879	inLine	Northern_Pearl_River_Delta	M	STREET	22	CMCC	iPhone
BABEL_BP_101_22979_20111129_140349_C6_scripted.sph	22979	20111129	140349	22979	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	41	CMCC	Nokia
BABEL_BP_101_69049_20111101_221034_S8_scripted.sph	69049	20111101	221034	69049	inLine	Northern_Guangdong	F	HOME_OFFICE_MOBILE	51	CMCC	Nokia
BABEL_BP_101_38108_20111125_150107_T1_scripted.sph	38108	20111125	150107	38108	inLine	Northern_Guangdong	M	STREET	28	CMCC	Nokia
BABEL_BP_101_96438_20111125_192853_C1_scripted.sph	96438	20111125	192853	96438	inLine	Guangxi_and_Western_Guangdong	M	CAR_KIT	35	China_Unicom	Nokia
BABEL_BP_101_20408_20111101_202617_A1_scripted.sph	20408	20111101	202617	20408	inLine	Northern_Guangdong	M	PUBLIC_PLACE	18	CMCC	Nokia
BABEL_BP_101_94696_20111203_185718_L1_scripted.sph	94696	20111203	185718	94696	inLine	Central_Guangdong	F	CAR_KIT	49	CMCC	Philips
BABEL_BP_101_81486_20111027_154413_I1_scripted.sph	81486	20111027	154413	81486	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	57	CMCC	Philips
BABEL_BP_101_98086_20111129_155036_C5_scripted.sph	98086	20111129	155036	98086	inLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	47	CMCC	Nokia
