ሀም	h1m6	h a m
ለመንቀሳቀሻ	l1m1n6K1s4K1sh4	l @ . m @ n . k> @ . s a . k> @ . S a
ለመንፈሳዊ	l1m1n6f1s4w3	l @ . m @ n . f @ . s a . w i
ለመዋል	l1m1w4l6	l @ . m @ . w a l
ለመውሊዱ	l1m1w6l3d2	l @ . m @ w . l i . d u
ለመውጣቱ	l1m1w6T4t2	l @ . m @ w . t> a . t u
ለመዱ	l1m1d2	l @ m . m @ . d u
ለመድሀኒት	l1m1d6h1n3t6	l @ . m @ d . h a . n i t
ለመድሀኒትም	l1m1d6h1n3t6m6	l @ . m @ d . h a . n i . t 1 m m
ለመግደፊያ	l1m1g6d1f3y4	l @ . m @ g . d @ . f i . j a
ለመጪው	l1m1C3w6	l @ . m @ tS> . tS> i w
ለመፈተን	l1m1f1t1n6	l @ . m @ . f @ t . t @ n	l @ . m @ f . f @ . t @ n
ለሙሉጌታ	l1m2l2g5t4	l @ . m u . l u . g e . t a
ለሙሌ	l1m2l5	l @ . m u . l e
ለሙስሊም	l1m2s6l3m6	l @ . m u s . l i m
ለማረስ	l1m4r1s6	l @ . m a . r @ s
ለማርያም	l1m4r6y4m6	l @ . m a r . j a m
ለማሳወቅና	l1m4s4w1K6n4	l @ . m a . s a w . w @ . k> 1 n . n a
ለማስመለስ	l1m4s6m1l1s6	l @ . m a s . m @ l . l @ s
ለማስቀጠር	l1m4s6K1T1r6	l @ . m a s . k> @ t> . t> @ r
ለማስነበብ	l1m4s6n1b1b6	l @ . m a s . n @ b . b @ b
ለማታውቂው	l1m4t4w6K3w6	l @ m . m a t . t a w . k> i w
ለማትሪክ	l1m4t6r3k6	l @ . m a t . r i k
ለማንገስ	l1m4n6g1s6	l @ . m a n . g @ s
ለማከናወን	l1m4k1n4w1n6	l @ . m a k . k @ . n a . w @ n
ለማዘጋጀቱ	l1m4z1g4j1t2	l @ . m a z . z @ . g a . dZ @ . t u
ለማይረባ	l1m4y6r1b4	l @ m . m a j . r @ . b a
ለማድረድ	l1m4d6r1d6	l @ . m a d . r @ d
ለምርቃትሽ	l1m6r6K4t6sh6	l @ . m 1 r . r 1 . k> a . t 1 S
ለምርቱ	l1m6r6t2	l @ . m 1 r . t u
ለምርት	l1m6r6t6	l @ . m 1 r t
ለምስጋና	l1m6s6g4n4	l @ . m 1 s . g a . n a
ለምትለብስበት	l1m6t6l1b6s6b1t6	l @ m . m 1 t . l @ b . s 1 b . b @ t
ለምትዝናናበት	l1m6t6z6n4n4b1t6	l @ m . m 1 t . t 1 z . n a n . n a b . b @ t
ለምኑም	l1m6n2m6	l @ . m 1 . n u m
ለምደዋል	l1m6d1w4l6	l @ m . d @ . w a l
ለምደውታል	l1m6d1w6t4l6	l @ m . d @ w . t a l
ለምዶታል	l1m6d7t4l6	l @ m . d o . t a l
ለሥራውም	l1sz6r4w6m6	l @ . s 1 . r a . w 1 m m
ለረመዳንም	l1r1m1d4n6m6	l @ . r @ . m @ . d a . n 1 m m
ለረመዷኑም	l1r1m1dw4n2m6	l @ . r @ . m @ . dw a . n u m m
ለረመዷን	l1r1m1dw4n6	l @ . r @ . m @ . dw a n
ለረዥም	l1r1Z6m6	l @ . r @ Z . Z 1 m
ለረፍት	l1r1f6t6	l @ . r @ . f 1 t
ለሮዳ	l1r7d4	l @ . r o . d a
ለሰብሉም	l1s1b6l2m6	l @ . s @ b . l u m m
ለሰፋው	l1s1f4w6	l @ . s @ f . f a w
ለሳሙኤል	l1s4m2?5l6	l @ . s a . m u . ? e l
ለሳሚ	l1s4m3	l @ . s a . m i
ለሳንድሮም	l1s4n6d6r7m6	l @ . s a n . d 1 . r o m
ለሳይንስ	l1s4y6n6s6	l @ . s a . j 1 n s
ለሼር	l1sh5r6	l @ . S e r	l @ . S e r r
ለሾርባችን	l1sh7r6b4c6n6	l @ . S o r . b a tS . tS 1 n
ለቀቀ	l1K1K1	l @ k> . k> @ . k> @
ለቀጠሮ	l1K1T1r7	l @ . k> @ . t> @ . r o
ለቃዋለች	l1K4w4l1c6	l @ k> . k> a . w a l . l @ tS tS
ለቅርበቱ	l1K6r6b1t2	l @ . k> 1 r . b @ . t u
ለቅሶም	l1K6s7m6	l @ k> . s o m m
ለቆኝ	l1K7J6	l @ . k> o J J
ለቋል	l1Kw4l6	l @ k>w . k>w a l
ለቋቅታ	l1Kw4K6t4	l @ . k>w a k> . k> 1 . t a
ለበላተኛ	l1b1l4t1J4	l @ . b @ l . l a . t @ J . J a
ለበልግ	l1b1l6g6	l @ . b @ l g
ለበስኩትኝ	l1b1s6k2t6J6	l @ b . b @ s . k u . t 1 J J
ለበሽታውም	l1b1sh6t4w6m6	l @ . b @ S . S 1 . t a . w 1 m
ለቢኒ	l1b3n3	l @ . b i . n i
ለባቢ	l1b4b3	l @ . b a b . b i
ለቤቢ	l1b5b3	l @ . b e . b i
ለቤተ	l1b5t1	l @ . b e . t @
ለቤተሰቦችሽ	l1b5t1s1b7c6sh6	l @ . b e . t @ . s @ . b o tS . tS 1 S
ለቤትሽ	l1b5t6sh6	l @ . b e . t 1 S
ለብሩ	l1b6r2	l @ . b 1 r . r u
ለብሰሽው	l1b6s1sh6w6	l @ b . s @ . S 1 w
ለብሻለሁ	l1b6sh4l1h2	l @ . b 1 S . S a l . l @ . h u
ለቦታው	l1b7t4w6	l @ . b o . t a w
ለተስፋዬ	l1t1s6f4y5	l @ . t @ s . f a . j e
ለተስፋዬም	l1t1s6f4y5m6	l @ . t @ s . f a . j e m
ለተዋበም	l1t1w4b1m6	l @ . t @ . w a . b @ m
ለታላቅ	l1t4l4K6	l @ . t a l . l a k>
ለትራንስፖርትም	l1t6r4n6s6p7r6t6m6	l @ . t 1 . r a . n 1 s . p o r . t 1 m
ለትርፍ	l1t6r6f6	l @ . t 1 r f
ለነማን	l1n1m4n6	l @ n . n @ . m a n
ለነማዘር	l1n1m4z1r6	l @ n . n @ . m a . z @ r
ለነገሯ	l1n1g1rw4	l @ . n @ . g @ . rw a
ለነገው	l1n1g1w6	l @ . n @ . g @ w
ለነጋዴ	l1n1g4d5	l @ . n @ g . g a . d e
ለነጋዴዎች	l1n1g4d5w7c6	l @ . n @ g . g a . d e . w o tS tS
ለናሙና	l1n4m2n4	l @ . n a . m u . n a
ለአሁኑማ	l1?1h2n2m4	l @ . ? a . h u . n u m . m a
ለአመል	l1?1m1l6	l @ . ? a . m @ l
ለአሜን	l1?1m5n6	l @ . ? a . m e n
ለአበሩ	l1?1b1r2	l @ . ? a . b @ r . r u
ለአቡሽ	l1?1b2sh6	l @ . ? a b . b u S
ለአቢ	l1?1b3	l @ . ? a b . b i
ለአቢም	l1?1b3m6	l @ . ? a b . b i m
ለአብያተ	l1?1b6y4t1	l @ . ? a b . j a . t @
ለአቦነሽ	l1?1b7n1sh6	l @ . ? a b . b o . n @ S
ለአክስቴ	l1?1k6s6t5	l @ . ? a . k 1 s . t e
ለአየሩ	l1?1y1r2	l @ . ? a j . j @ . r u
ለአጨዋወቴ	l1?1C1w4w1t5	l @ . ? a tS> . tS> @ . w a . w @ . t e
ለኢክራም	l1?3k6r4m6	l @ . ? i k . r a m
ለእማ	l1?6m4	l @ . ? 1 m . m a
ለእማየ	l1?6m4y1	l @ . ? 1 m . m a j . j @
ለእራስሽ	l1?6r4s6sh6	l @ . ? 1 . r a . s 1 S
ለእሷስ	l1?6sw4s6	l @ . ? 1 sw . sw a s s
ለእቴኑ	l1?6t5n2	l @ . ? 1 . t e . n u
ለእነኛ	l1?6n1J4	l @ . ? 1 n . n @ J . J a
ለእነፋዘር	l1?6n1f4z1r6	l @ . ? 1 n . n @ . f a . z @ r
ለእነፍሬ	l1?6n1f6r5	l @ . ? 1 n . n @ . f 1 . r e
ለእዚች	l1?6z3c6	l @ . ? 1 z . z i tS tS
ለእዛስ	l1?6z4s6	l @ . ? 1 z . z a s s
ለእዛኔ	l1?6z4n5	l @ . ? 1 z . z a n . n e
ለእድገቷ	l1?6d6g1tw4	l @ . ? 1 d . g @ . tw a
ለከርሞ	l1k1r6m7	l @ . k @ r . m o
ለከሰሉም	l1k1s1l2m6	l @ . k @ . s @ . l u m
ለከብቶቹም	l1k1b6t7c2m6	l @ . k @ b . t o tS . tS u m
ለከብቶች	l1k1b6t7c6	l @ . k @ b . t o tS tS
ለኩሶ	l1k2s7	l @ k . k u . s o
ለኪራይ	l1k3r4y6	l @ . k i . r a j
ለኪሴ	l1k3s5	l @ . k i . s e
ለኪዳነምህረት	l1k3d4n1m6h6r1t6	l @ . k i . d a . n @ . m 1 h . r @ t
ለካቫኒ	l1k4v4n3	l @ . k a . v a . n i
ለካን	l1k4n6	l @ k . k a n
ለካፒታል	l1k4p3t4l6	l @ . k a p . p i . t a l
ለክረምቱም	l1k6r1m6t2m6	l @ . k 1 . r @ m . t u m m
ለክርስቲያን	l1k6r6s6t3y4n6	l @ . k 1 . r 1 s . t i . j a n
ለወር	l1w1r6	l @ . w @ r
ለዊቼንሶ	l1w3c5n6s7	l @ . w i . tS e n . s o
ለውጥማ	l1w6T6m4	l @ w . t> 1 m . m a
ለዐይነ	l1;1y6n1	l @ . ? a j . n @
ለዘገየ	l1z1g1y1	l @ . z @ . g @ j . j @
ለየትም	l1y1t6m6	l @ . j @ . t 1 m m
ለዩኒፎርም	l1y2n3f7r6m6	l @ . j u . n i . f o r m
ለይቶ	l1y6t7	l @ j . j 1 . t o
ለደላሎች	l1d1l4l7c6	l @ . d @ l . l a . l o tS tS
ለደረጃ	l1d1r1j4	l @ . d @ . r @ . dZ a
ለደፍቅም	l1d1f6K6m6	l @ . d @ f . k> 1 m
ለጉርሻ	l1g2r6sh4	l @ . g u r . S a
ለጉርድ	l1g2r6d6	l @ . g u r d
ለጉዞ	l1g2z7	l @ . g u . z o
ለጉዳዩ	l1g2d4y2	l @ . g u d . d a . j u
ለጋሻው	l1g4sh4w6	l @ . g a S . S a w
ለግርማ	l1g6r6m4	l @ . g 1 r . m a
ለግንቦት	l1g6n6b7t6	l @ . g 1 n . b o t
ለጓደኛሽም	l1gw4d1J4sh6m6	l @ . gw a d . d @ J . J a . S 1 m m
ለጓደኞቼ	l1gw4d1J7c5	l @ . gw a d . d @ J . J o tS . tS e
ለጓደኞችህ	l1gw4d1J7c6h6	l @ . gw a d . d @ J . J o tS . tS 1 h
ለጤንነቴ	l1T5n6n1t5	l @ . t> e . n 1 n . n @ . t e
ለጥላሁን	l1T6l4h2n6	l @ . t> 1 . l a . h u n
ለጿሚዎቹ	l1Sw4m3w7c2	l @ . s>w a . m i . w o tS . tS u
ለፋዘር	l1f4z1r6	l @ . f a . z @ r
ለፌላኒ	l1f5l4n3	l @ . f e . l a . n i
ለፍስሀ	l1f6s6h1	l @ . f 1 s . s 1 . h a
ለፕሮሞሽን	l1p6r7m7sh6n6	l @ . p 1 . r o . m o . S 1 n
ለፖግባ	l1p7g6b4	l @ . p o g . b a
ሉክ	l2k6	l u k
ሉዊስ	l2w3s6	l u . w i s
ሉዋሜ	l2w4m5	l u . w a . m e
ሉዋም	l2w4m6	l u . w a m
ሉዋምን	l2w4m6n6	l u . w a . m 1 n
ሊሆንላችሁ	l3h7n6l4c6h2	l i . h o . n 1 l . l a tS . tS 1 . h u
ሊመንን	l3m1n6n6	l i . m @ n . n 1 n
ሊመጡልሽ	l3m1T2l6sh6	l i . m @ . t> u l . l 1 S
ሊረሳ	l3r1s4	l i r . r @ s . s a
ሊሰሙ	l3s1m2	l i . s @ . m u
ሊሰሙን	l3s1m2n6	l i . s @ . m u n
ሊሰራለት	l3s1r4l1t6	l i s . s @ r . r a l . l @ t	l i . s @ . r a l . l @ t
ሊሰራበት	l3s1r4b1t6	l i s . s @ r . r a b . b @ t
ሊሰጠኝ	l3s1T1J6	l i s . s @ t> . t> @ J J	l i . s @ . t> @ J J
ሊሰጠው	l3s1T1w6	l i . s @ . t> @ w	l i s . s @ t> . t> @ w
ሊሰፋ	l3s1f4	l i . s @ . f a	l i s . s @ f . f a
ሊሸውዱት	l3sh1w6d2t6	l i . S @ w . w 1 . d u t
ሊሸጥበት	l3sh1T6b1t6	l i S . S @ . t> 1 b . b @ t	l i . S @ . t> 1 b . b @ t
ሊቀበል	l3K1b1l6	l i k> . k> @ b . b @ l
ሊቆም	l3K7m6	l i k> . k> o m	l i . k> o m
ሊበዛ	l3b1z4	l i b . b @ z . z a	l i . b @ . z a
ሊብሬውን	l3b6r5w6n6	l i b . r e . w 1 n
ሊታረድ	l3t4r1d6	l i t . t a r . r @ d
ሊነካ	l3n1k4	l i n . n @ k . k a	l i . n @ . k a
ሊናገሩት	l3n4g1r2t6	l i n . n a g . g @ . r u t
ሊከተከት	l3k1t1k1t6	l i k . k @ . t @ k . k @ t
ሊያራግፍ	l3y4r4g6f6	l i . j a r . r a g . g 1 f
ሊያሳልፋቸው	l3y4s4l6f4c1w6	l i . j a . s a l . l 1 . f a tS . tS @ w
ሊያስታርቅ	l3y4s6t4r6K6	l i . j a s . t a r . r 1 k>
ሊያስወጣው	l3y4s6w1T4w6	l i . j a s . w @ t> . t> a w
ሊያቆስልህ	l3y4K7s6l6h6	l i . j a . k> o s . l 1 h
ሊያበላን	l3y4b1l4n6	l i . j a . b @ . l a n
ሊያብድም	l3y4b6d6m6	l i . j a b . d 1 m m
ሊያነግሱ	l3y4n1g6s2	l i . j a . n @ g . s u
ሊያናድድ	l3y4n4d6d6	l i . j a n . n a d . d 1 d
ሊያጋጥመኝ	l3y4g4T6m1J6	l i . j a g . g a t> . t> 1 . m @ J J
ሊያጎበጉቡ	l3y4g7b1g2b2	l i . j a . g o . b @ g . g u . b u
ሊገዛው	l3g1z4w6	l i . g @ . z a w
ሊገደፍ	l3g1d1f6	l i g . g @ d . d @ f
ሊግማ	l3g6m4	l i . g 1 m . m a
ሊጠረጥረኝ	l3T1r1T6r1J6	l i . t> @ . r @ t> . t> 1 . r @ J J
ሊጠራ	l3T1r4	l i t> . t> @ r . r a	l i . t> @ . r a
ሊጠቀም	l3T1K1m6	l i t> . t> @ k> . k> @ m
ሊጠይቀን	l3T1y6K1n6	l i . t> @ j . j 1 . k> @ n
ሊፈቅድልሽ	l3f1K6d6l6sh6	l i . f @ k> . d 1 l . l 1 S
ሊፈጥር	l3f1T6r6	l i . f @ . t> 1 r
ሊፍት	l3f6t6	l i . f 1 t
ሊፍትም	l3f6t6m6	l i f . t 1 m m
ላላና	l4l4n4	l a l . l a n . n a
ላልመጣ	l4l6m1T4	l a l . m @ . t> a
ላመጣልሽ	l4m1T4l6sh6	l a . m @ t> . t> a l . l 1 S	l a . m @ . t> a l . l 1 S
ላምጣ	l4m6T4	l a m . t> a
ላሰፋ	l4s1f4	l a . s @ . f a	l a s . s @ f . f a
ላሰፋለት	l4s1f4l1t6	l a s . s @ f . f a l . l @ t
ላሳክም	l4s4k6m6	l a . s a k . k 1 m
ላሳክምሽ	l4s4k6m6sh6	l a . s a k . k 1 m . m 1 S
ላሳየው	l4s4y1w6	l a . s a j . j @ w
ላስብበት	l4s6b6b1t6	l a s . s 1 . b 1 b . b @ t
ላስተካክልልሽ	l4s6t1k4k6l6l6sh6	l a s . t @ . k a k . l 1 l . l 1 S
ላስተዋውቅህ	l4s6t1w4w6K6h6	l a s . t @ . w a w . k> 1 h
ላስቲኩን	l4s6t3k2n6	l a s . t i . k u n
ላስኪደው	l4s6k3d1w6	l a s . k i . d @ w
ላስገባህ	l4s6g1b4h6	l a s . g @ b . b a h
ላስጠናሽ	l4s6T1n4sh6	l a s . t> @ n . n a S
ላብድ	l4b6d6	l a . b 1 d
ላነጋግርልህ	l4n1g4g6r6l6h6	l a n . n @ . g a g . g 1 . r 1 l . l 1 h
ላናግረው	l4n4g6r1w6	l a n . n a g . g 1 . r @ w	l a n . n a g . r @ w
ላናግራቸው	l4n4g6r4c1w6	l a n . n a g . g 1 . r a . tS @ w	l a n . n a g . r a . tS @ w
ላንብብ	l4n6b6b6	l a n . b 1 b
ላንጉጅ	l4n6g2j6	l a n . g u dZ
ላንጋኖ	l4n6g4n7	l a n . g a . n o
ላከላት	l4k1l4t6	l a . k @ l . l a t
ላኩላት	l4k2l4t6	l a . k u l . l a t
ላኩልሽ	l4k2l6sh6	l a . k u l . l 1 S
ላኩልኝ	l4k2l6J6	l a . k u l . l 1 J J
ላኪላቸዋ	l4k3l4c1w4	l a . k i l . l a tS . tS @ . w a
ላኪላቸው	l4k3l4c1w6	l a . k i l . l a tS . tS @ w
ላክላት	l4k6l4t6	l a k . k 1 l . l a t	l a . k 1 l . l a t
ላይመቸኝ	l4y6m1c1J6	l a . j 1 m . m @ tS . tS @ J
ላይመጡልኝ	l4y6m1T2l6J6	l a j . m @ . t> u l . l 1 J J
ላይሰጠው	l4y6s1T1w6	l a j . s @ . t> @ w
ላይኮ	l4y6k7	l a . j 1 k . k o
ላይደርስልህ	l4y6d1r6s6l6h6	l a j . d @ r . s 1 l . l 1 h
ላይፍስ	l4y6f6s6	l a . j 1 . f 1 s
ላድርጋቸው	l4d6r6g4c1w6	l a . d 1 r . g a tS . tS @ w
ላድርግልሽ	l4d6r6g6l6sh6	l a . d 1 r . g 1 l . l 1 S
ላድሰው	l4d6s1w6	l a d . d 1 . s @ w
ላድስ	l4d6s6	l a d . d 1 s
ላድን	l4d6n6	l a d . d 1 n	l a . d 1 n
ላገናኘው	l4g1n4J1w6	l a g . g @ . n a J . J @ w
ላገናኝሻ	l4g1n4J6sh4	l a g . g @ . n a J . J 1 . S a
ላገኝ	l4g1J6	l a . g @ J
ላግ	l4g6	l a g
ላግኝሽ	l4g6J6sh6	l a . g 1 J . J 1 S
ላጠፋው	l4T1f4w6	l a . t> @ f . f a w	l a . t> @ . f a w
ላፕቶፗ	l4p6t7pw4	l a p . t o . pw a
ልሆንሽም	l6h7n6sh6m6	l 1 . h o . n 1 . S 1 m m
ልላክለት	l6l4k6l1t6	l 1 l . l a . k 1 l . l @ t	l 1 . l a . k 1 l . l @ t
ልመልስለት	l6m1l6s6l1t6	l 1 . m @ l . l 1 . s 1 l . l @ t
ልመልስላቸው	l6m1l6s6l4c1w6	l 1 . m @ l . l 1 . s 1 l . l a tS . tS @ w
ልመርመር	l6m1r6m1r6	l 1 m . m @ r . m @ r
ልመሰርት	l6m1s1r6t6	l 1 . m @ . s @ r . r 1 t
ልመጣም	l6m1T4m6	l 1 . m @ . t> a m
ልሙት	l6m2t6	l 1 . m u t
ልምምዱን	l6m6m6d2n6	l 1 . m 1 m . m 1 . d u n
ልምድማ	l6m6d6m4	l 1 m . d 1 m . m a
ልምዷ	l6m6dw4	l 1 m . dw a
ልሰጠው	l6s1T1w6	l 1 . s @ . t> @ w
ልስም	l6s6m6	l 1 . s 1 m
ልቀቀኝ	l6K1K1J6	l 1 . k> @ . k> @ J
ልቀበለው	l6K1b1l1w6	l 1 k> . k> @ b . b @ . l @ w	l 1 k> . k> @ . b @ . l @ w
ልቀደም	l6K1d1m6	l 1 k> . k> @ d . d @ m
ልቆይሽ	l6K7y6sh6	l 1 . k> o j . j 1 S
ልቡ	l6b2	l 1 b . b u
ልባረር	l6b4r1r6	l 1 b . b a . r @ r
ልቤን	l6b5n6	l 1 b . b e n
ልብሱንስ	l6b6s2n6s6	l 1 b . s u . n 1 s
ልብሴን	l6b6s5n6	l 1 b . s e n
ልተባበር	l6t1b4b1r6	l 1 t . t @ . b a b . b @ r	l 1 t . t @ . b a . b @ r
ልታመጣ	l6t4m1T4	l 1 t . t a . m @ . t> a
ልታረጉ	l6t4r1g2	l 1 t . t a . r @ . g u
ልታስቀድሚኝ	l6t4s6K1d6m3J6	l 1 t . t a s . k> @ d . d 1 . m i J J
ልታስኬደው	l6t4s6k5d1w6	l 1 t . t a s . k e . d @ w
ልታስገባ	l6t4s6g1b4	l 1 t . t a s . g @ b . b a
ልታደርገኝ	l6t4d1r6g1J6	l 1 t . t a . d @ r . g @ J
ልታደርጊኝ	l6t4d1r6g3J6	l 1 t . t a . d @ r . g i J J
ልትለኝ	l6t6l1J6	l 1 . t 1 . l @ J
ልትልህ	l6t6l6h6	l 1 t . t 1 . l 1 h
ልትሰበስቡ	l6t6s1b1s6b2	l 1 t . s @ . b @ s . s 1 . b u
ልትሸኟት	l6t6sh1Jw4t6	l 1 t . S @ Jw . Jw a t
ልትቆይኝ	l6t6K7y6J6	l 1 t . k> o j . j 1 J J
ልትበሳጭ	l6t6b1s4C6	l 1 t . t 1 b . b @ . s a tS> tS>
ልትነግረኝ	l6t6n1g6r1J6	l 1 t . n @ g . r @ J J
ልትናፍቂኝ	l6t6n4f6K3J6	l 1 t . n a f . f 1 . k> i J J
ልትከፍሉ	l6t6k1f6l2	l 1 t . k @ f . l u
ልትደርስ	l6t6d1r6s6	l 1 t . t 1 . d @ r s	l 1 t . d @ r s
ልትገናኙ	l6t6g1n4J2	l 1 t . t 1 g . g @ . n a J . J u
ልትፀልይ	l6t6tz1l6y6	l 1 t . t 1 . s> @ l . l 1 j	l 1 t . s> @ l . l 1 j
ልትፈተኑ	l6t6f1t1n2	l 1 t . t 1 f . f @ t . t @ . n u
ልነጋገረው	l6n1g4g1r1w6	l 1 n . n @ . g a . g @ . r @ w
ልናወጋ	l6n4w1g4	l 1 n . n a . w @ . g a
ልናዋራው	l6n4w4r4w6	l 1 n . n a w . w a r . r a w
ልናደርገው	l6n4d1r6g1w6	l 1 n . n a . d @ r . g @ w
ልናጅብ	l6n4j6b6	l 1 n . n a dZ . dZ 1 b
ልንሰጥህ	l6n6s1T6h6	l 1 n . n 1 . s @ . t> 1 h	l 1 n . s @ . t> 1 h
ልንተኛ	l6n6t1J4	l 1 n . t @ J . J a
ልንጀምረው	l6n6j1m6r1w6	l 1 n . n 1 . dZ @ m . m 1 . r @ w	l 1 n . dZ @ m . m 1 . r @ w
ልንገርሀ	l6n6g1r6h1	l 1 n . g @ . r 1 . h a
ልንገናኝ	l6n6g1n4J6	l 1 n . n 1 g . g @ . n a J
ልንገዛ	l6n6g1z4	l 1 n . g @ . z a	l 1 n . n 1 g . g @ z . z a
ልንጫወት	l6n6C4w1t6	l 1 n . n 1 tS> . tS> a w . w @ t
ልንፈልግ	l6n6f1l6g6	l 1 n . f @ l . l 1 g
ልንፈተን	l6n6f1t1n6	l 1 n . n 1 f . f @ t . t @ n
ልከህልኝ	l6k1h6l6J6	l 1 . k @ . h 1 l . l 1 J J
ልከኸው	l6k1kx1w6	l 1 . k @ . h @ w
