<hes>	a:6
saam1seui2	s a:1 m s 9y2
saam1baak3	s a:1 m b a:3 k
saam1gam1	s a:1 m g 61 m
saam1chaan1	s a:1 m ts a:1 n
seung6	s 9:6 N
seung6yat1	s 9:6 N j 61 t
seung6ha6	s 9:6 N h a:6
seung6ha6gau2	s 9:6 N h a:6 g 6w2
seung6ha6mong5	s 9:6 N h a:6 m O:5 N
seung6dou3	s 9:6 N d ow3
seung5dou3heui3	s 9:5 N d ow3 h 9y3
seung5dou2lai4	s 9:5 N d ow2 l 6j4
seung6ng5	s 9:6 N N5
seung5heui3	s 9:5 N h 9y3
seung5lei4	s 9:5 N l ej4
seung5maai4	s 9:5 N m a:j4
seung5hok6	s 9:5 N h O:6 k
seung5jo2heui3	s 9:5 N dz O:2 h 9y3
seung6lin2	s 9:6 N l i:2 n
seung5dak1	s 9:5 N d 61 k
seung5paai4	s 9:5 N p a:j4
seung5jou2	s 9:5 N dz ow2
seung6jau3	s 9:6 N dz 6w3
seung5lei4	s 9:5 N l ej4
seung5lau4	s 9:5 N l 6w4
seung6chi3	s 9:6 N ts i:3
seung6hoi2	s 9:6 N h O:j2
seung5baan1	s 9:5 N b a:1 n
seung5mong5	s 9:5 N m O:5 N
seung5mong5ka1	s 9:5 N m O:5 N k a:1
seung5lok6baan1	s 9:5 N l O:6 k b a:1 n
seung5fo3	s 9:5 N f O:3
seung5che1	s 9:5 N ts E:1
seung6bin1	s 9:6 N b i:1 n
seung5go3mong5	s 9:5 N g O:3 m O:5 N
seung6mun4	s 9:6 N m u:4 n
seung6min6	s 9:6 N m i:6 n
seung5gou1	s 9:5 N g ow1
ha6	h a:6
ha6ha6	h a:6 h a:6
ha6dai1	h a:6 d 6j1
ha6m5	h a:6 m5
ha6heui3	h a:6 h 9y3
ha6saan1	h a:6 s a:1 n
ha6gong1	h a:6 g O:1 N
ha6lin2	h a:6 l i:2 n
ha6man4	h a:6 m 64 n
ha6jau3	h a:6 dz 6w3
ha6chi3	h a:6 ts i:3
ha6fo3	h a:6 f O:3
ha6bin1	h a:6 b i:1 n
ha6ye5	h a:6 j E:5
ha6yu5	h a:6 j y:5
ha6min6	h a:6 m i:6 n
ha6lung4waan1	h a:6 l u:4 N w a:1 n
bat1	b 61 t
bat1ting4	b 61 t t i:4 N
bat1yu4	b 61 t j y:4
bat1dak1liu5	b 61 t d 61 k l iw5
bat1dyun6	b 61 t d y:6 n
bat1lau4	b 61 t l 6w4
bat1lau1	b 61 t l 6w1
bat1go3	b 61 t g O:3
jyun1	dz y:1 n
jyun1yip6	dz y:1 n j i:6 p
jyun1yip6yan4si6	dz y:1 n j i:6 p j 64 n s i:6
jyun1maai6dim3	dz y:1 n m a:j6 d i:3 m
jyun1sam1	dz y:1 n s 61 m
jyun1kyun4	dz y:1 n k y:4 n
jyun1dang1	dz y:1 n d 61 N
jyun1fo1	dz y:1 n f O:1
sai3wa4	s 6j3 w a:4
sai3gaai5	s 6j3 g a:j5
yip6jyu2	j i:6 p dz y:2
yip6mou6	j i:6 p m ow6
dung1	d u:1 N
dung1dung1	d u:1 N d u:1 N
dung1bak1	d u:1 N b 61 k
dung1bak1mai1	d u:1 N b 61 k m 6j1
dung1bak1choi3	d u:1 N b 61 k ts O:j3
dung1laam4a3	d u:1 N l a:4 m a:3
dung1pou2	d u:1 N p ow2
dung1gun2	d u:1 N g u:2 n
dung1gu1	d u:1 N g u:1
dung1mun4	d u:1 N m u:4 n
dung1fung1	d u:1 N f u:1 N
dung1fung1lou6	d u:1 N f u:1 N l ow6
si1	s i:1
diu1	d iw1
leung5	l 9:5 N
leung5maan6	l 9:5 N m a:6 n
leung5go3	l 9:5 N g O:3
leung5gung1po2	l 9:5 N g u:1 N p O:2
leung5chin1	l 9:5 N ts i:1 n
leung5chin1gei2	l 9:5 N ts i:1 n g ej2
leung5gwai3	l 9:5 N gw 6j3
leung5mou5leui5	l 9:5 N m ow5 l 9y5
leung5baak3gei2	l 9:5 N b a:3 k g ej2
yim4	j i:4 m
yim4jung6	j i:4 m dz u:6 N
go3	g O:3
go3yan4lang4lik6	g O:3 j 64 n l 64 N l i:6 k
go3leui5jing2me1	g O:3 l 9y5 dz i:2 N m E:1
go3dai2	g O:3 d 6j2
go3sing3	g O:3 s i:3 N
jung1	dz u:1 N
jung1seung6	dz u:1 N s 9:6 N
jung1jyun1	dz u:1 N dz y:1 n
jung1yi6lou6hau2	dz u:1 N j i:6 l ow6 h 6w2
jung1gaai3	dz u:1 N g a:j3
jung1m5	dz u:1 N m5
jung1gok3	dz u:1 N g O:3 k
jung1gok3yan4sau6	dz u:1 N g O:3 k j 64 n s 6w6
jung1gok3ping4on1	dz u:1 N g O:3 k p i:4 N O: n1
jung1gok3ping4on1bou2him2	dz u:1 N g O:3 k p i:4 N O: n1 b ow2 h i:2 m
jung1gok3yi4dung6	dz u:1 N g O:3 k j i:4 d u:6 N
jung1oi6	dz u:1 N O:j6
jung1saan1	dz u:1 N s a:1 n
jung1saan1m5	dz u:1 N s a:1 n m5
jung1saan1baat3	dz u:1 N s a:1 n b a:3 t
jung1saan1gung1yun2	dz u:1 N s a:1 n g u:1 N j y:2 n
jung1saan1jim1yun2	dz u:1 N s a:1 n dz i:1 m j y:2 n
jung1sam1	dz u:1 N s 61 m
jung1yut6lau2	dz u:1 N j y:6 t l 6w2
jung1tau4jing3gyun3	dz u:1 N t 6w4 dz i:3 N g y:3 n
jung1man4	dz u:1 N m 64 n
jung1cheun4	dz u:1 N ts 9:4 n
jung1hoi2jeung1dou1	dz u:1 N h O:j2 dz 9:1 N d ow1
jung1sek6yau4	dz u:1 N s E:6 k j 6w4
jung1gaan1	dz u:1 N g a:1 n
fung1fu3	f u:1 N f u:3
chyun3	ts y:3 n
chyun3jai2	ts y:3 n dz 6j2
lam4	l 64 m
lam4si4gung1	l 64 m s i:4 g u:1 N
daan1ha4saan1	d a:1 n h a:4 s a:1 n
wai4	w 6j4
wai4ji2	w 6j4 dz i:2
jyu2lik6	dz y:2 l i:6 k
jyu2dung6	dz y:2 d u:6 N
jyu2jik6	dz y:2 dz i:6 k
jyu2jeung1	dz y:2 dz 9:1 N
jyu2baan2	dz y:2 b a:2 n
jyu2gun2	dz y:2 g u:2 n
jyu2yiu3	dz y:2 j iw3
jyu2gok3	dz y:2 g O:3 k
lai6	l 6j6
geui2	g 9y2
geui2baan6	g 9y2 b a:6 n
gau2	g 6w2
mo1	m O:1
ji1	dz i:1
ji1chin4	dz i:1 ts i:4 n
ji1hau6	dz i:1 h 6w6
ji1chyu2	dz i:1 ts y:2
ji1oi6	dz i:1 O:j6
ji1so2yi5	dz i:1 s O:2 j i:5
ji1leui6	dz i:1 l 9y6
wu1	w u:1
wu1ying4	w u:1 j i:4 N
ja3sing2	dz a:3 s i:2 N
lok6cheui3	l O:6 k ts 9y3
bing1bam1bo1	b i:1 N b 61 m b O:1
gwaai1	gw a:j1
gwaai1gwaai1	gw a:j1 gw a:j1
sing4	s i:4 N
mat1	m 61 t
mat1ye5yan4	m 61 t j E:5 j 64 n
mat1ye5	m 61 t j E:5
mat1gwai2	m 61 t gw 6j2
gau2	g 6w2
gau2sin1	g 6w2 s i:1 n
gau2sap6	g 6w2 s 66 p
gau2a6gau2	g 6w2 a:6 g 6w2
gau2a6baat3	g 6w2 a:6 b a:3 t
gau2a6gei2	g 6w2 a:6 g ej2
gau2suk1	g 6w2 s u:1 k
gau2hou2	g 6w2 h ow2
gau2yut6	g 6w2 j y:6 t
gau2jau1	g 6w2 dz 6w1
gau2baak3	g 6w2 b a:3 k
ya5	j a:5
jaap6gwaan3	dz a:6 p gw a:3 n
heung1	h 9:1 N
heung1ha6	h 9:1 N h a:6
syu1	s y:1
maai5	m a:j5
maai5ha2	m a:j5 h a:2
maai5ha2ye5	m a:j5 h a:2 j E:5
maai5dou3	m a:j5 d ow3
maai5maai6	m a:j5 m a:j6
maai5yun4sung3	m a:j5 j y:4 n s u:3 N
maai5jo2yuk6	m a:j5 dz O:2 j y:6 k
maai5jo2choi3	m a:j5 dz O:2 ts O:j3
maai5jo2ye5	m a:j5 dz O:2 j E:5
maai5dak1dou3	m a:j5 d 61 k d ow3
maai5choi3	m a:j5 ts O:j3
maai5fo3	m a:j5 f O:3
maai5faan1	m a:j5 f a:1 n
maai5ye5	m a:j5 j E:5
maai5sung3	m a:j5 s u:3 N
lyun6	l y:6 n
lyun6chat1baat3jou1	l y:6 n ts 61 t b a:3 t dz ow1
lyun6loi4	l y:6 n l O:j4
lyun6gong2	l y:6 n g O:2 N
yu5jyu1	j y:5 dz y:1
yu5gap3	j y:5 g 63 p
la2ying4	l a:2 j i:4 N
la2ying4hong1	l a:2 j i:4 N h O:1 N
liu5	l iw5
liu5gaai2	l iw5 g a:j2
liu5gaai2ha5	l iw5 g a:j2 h a:5
jang1	dz 61 N
jang1dou3	dz 61 N d ow3
jang1jaat3	dz 61 N dz a:3 t
si6	s i:6
si6sin1	s i:6 s i:1 n
si6sat6	s i:6 s 66 t
si6ching4	s i:6 ts i:4 N
yi6	j i:6
yi6ei1	j i:6 ej1
yi6jai2	j i:6 dz 6j2
yi6sap6	j i:6 s 66 p
yi6a6yat1	j i:6 a:6 j 61 t
yi6a6maan6	j i:6 a:6 m a:6 n
yi6a6saam1ji1	j i:6 a:6 s a:1 m dz i:1
yi6a6luk6hou2	j i:6 a:6 l u:6 k h ow2
yi6a6sei3hou2	j i:6 a:6 s ej3 h ow2
yi6chin1	j i:6 ts i:1 n
yi6hou2	j i:6 h ow2
yi6sau2	j i:6 s 6w2
yi6yut6	j i:6 j y:6 t
yi6baak3	j i:6 b a:3 k
wan4	w 64 n
wan4laam4toi4	w 64 n l a:4 m t O:j4
wu6seung1	w u:6 s 9:1 N
m5	m5
m5sap6	m5 s 66 p
m5a6fan6	m5 a:6 f 66 n
m5sap6gei2	m5 s 66 p g ej2
m5chin1	m5 ts i:1 n
m5hou6	m5 h ow6
m5lin4kap1	m5 l i:4 n k 61 p
m5yut6	m5 j y:6 t
m5baak3	m5 b a:3 k
m5yeung4gong2cheung4	m5 j 9:4 N g O:2 N ts 9:4 N
m5yeung4diu1jeung6	m5 j 9:4 N d iw1 dz 9:6 N
m5jeung6gong2cheung4	m5 dz 9:6 N g O:2 N ts 9:4 N
a3taai3	a:3 t a:j3
a3jau1	a:3 dz 6w1
gong1	g O:1 N
gaau1	g a:w1
gaau1doi6	g a:w1 d O:j6
gaau1yik6wui2	g a:w1 j i:6 k w u:j2
gaau1lau4	g a:w1 l 6w4
gaau1lau4wui5	g a:w1 l 6w4 w u:j5
gaau1lau4din6	g a:w1 l 6w4 d i:6 n
gaau1jou1	g a:w1 dz ow1
gaau1gun2so2	g a:w1 g u:2 n s O:2
gaau1ging2	g a:w1 g i:2 N
gaau1fai3	g a:w1 f 6j3
gaau1tung1	g a:w1 t u:1 N
gaau1chin2	g a:w1 ts i:2 n
yik6	j i:6 k
yik6dou1	j i:6 k d ow1
chaan2yip6	ts a:2 n j i:6 p
chaan2ban2	ts a:2 n b 62 n
ting4toi4lau5gok3	t i:4 N t O:j4 l 6w5 g O:3 k
chan1	ts 61 n
chan1chik1	ts 61 n ts i:1 k
chan1ji6	ts 61 n dz i:6
yan4	j 64 n
yan4si6	j 64 n s i:6
yan4tai2	j 64 n t 6j2
yan4lik6ji1yun4	j 64 n l i:6 k dz i:1 j y:4 n
yan4hau2	j 64 n h 6w2
yan4meng2	j 64 n m E:2 N
yan4yun4	j 64 n j y:4 n
yan4dei6	j 64 n d ej6
yan4si6	j 64 n s i:6
yan4tau4	j 64 n t 6w4
yan4yiu2	j 64 n j iw2
yan4ga1	j 64 n g a:1
yan4gung1	j 64 n g u:1 N
yan4ching4	j 64 n ts i:4 N
yan4sou3	j 64 n s ow3
yan4man4	j 64 n m 64 n
yan4man4yi1yun2	j 64 n m 64 n j i:1 j y:2 n
yan4man4bai6	j 64 n m 64 n b 6j6
yan4lau4leung6	j 64 n l 6w4 l 9:6 N
yan4sang1	j 64 n s 61 N
yan4hai6	j 64 n h 6j6
yik1	j i:1 k
yan4wo4jaam6	j 64 n w O:4 dz a:6 m
yan4sau6ji6	j 64 n s 6w6 dz i:6
yan4sau6chi4	j 64 n s 6w6 ts i:4
gam1	g 61 m
gam1tin1	g 61 m t i:1 n
gam1lin4	g 61 m l i:4 n
gam1yat6	g 61 m j 66 t
gam1jou2	g 61 m dz ow2
gam1maan5	g 61 m m a:5 n
gam1maan5hak1	g 61 m m a:5 n h 61 k
gam1jiu1	g 61 m dz iw1
gam1jiu1jou2	g 61 m dz iw1 dz ow2
gam1chi3	g 61 m ts i:3
gaai3	g a:j3
gaai3siu6	g a:j3 s iw6
gaai3siu6ha5	g a:j3 s iw6 h a:5
chung4	ts u:4 N
chung4fa3	ts u:4 N f a:3
chung4loi4	ts u:4 N l O:j4
chong1fu3	ts O:1 N f u:3
jai2	dz 6j2
jai4jai2	dz 6j4 dz 6j2
jai2leui2	dz 6j2 l 9y2
ta1	t a:1
fu6	f u:6
sin1	s i:1 n
sin1yan4	s i:1 n j 64 n
doi6	d O:j6
doi6baan1	d O:j6 b a:1 n
doi6biu2	d O:j6 b iw2
yi5	j i:5
yi5seung6	j i:5 s 9:6 N
yi5ha6	j i:5 h a:6
yi5wai4	j i:5 w 6j4
yi5loi6	j i:5 l O:j6
yi5chin4	j i:5 ts i:4 n
yi5hau6	j i:5 h 6w6
jung6	dz u:6 N
jung6ga1	dz u:6 N g a:1
jung6cheun1	dz u:6 N ts 9:1 n
jung6yau5	dz u:6 N j 6w5
jung6mei6	dz u:6 N m ej6
jung6yiu3	dz u:6 N j iw3
gin6	g i:6 n
ga3	g a:3
ga3chin4	g a:3 ts i:4 n
yam6	j 66 m
yam6ho4	j 66 m h O:4
yam6mou6	j 66 m m ow6
yam6mou6	j 66 m m ow6
fan6	f 66 n
fong2	f O:2 N
kei5	k ej5
kei5yip6	k ej5 j i:6 p
kei5dou3	k ej5 d ow3
kei5loi4	k ej5 l O:j4
kei5lei5	k ej5 l ej5
fuk6	f u:6 k
yau1	j 6w1
yau1m4yau1sik1	j 6w1 m4 j 6w1 s i:1 k
yau1saai3sik1	j 6w1 s a:j3 s i:1 k
yau1sik1	j 6w1 s i:1 k
yau1sik1yat6	j 6w1 s i:1 k j 66 t
yau1jing2	j 6w1 dz i:2 N
yau1haan4	j 6w1 h a:4 n
yau1wai6	j 6w1 w 6j6
fo2gei3	f O:2 g ej3
fo2sik6	f O:2 s i:6 k
wui5	w u:j5
wui2yun4	w u:j2 j y:4 n
wui5m4wui5	w u:j5 m4 w u:j5
wui6gai3	w u:j6 g 6j3
wui6gai3si1	w u:j6 g 6j3 s i:1
wui6gai3jing3	w u:j6 g 6j3 dz i:3 N
wai5go1	w 6j5 g O:1
wai5fo1	w 6j5 f O:1
wai5hung4	w 6j5 h u:4 N
chyun4	ts y:4 n
chyun4daan1	ts y:4 n d a:1 n
chyun4hoi1	ts y:4 n h O:j1
chyun4yin5	ts y:4 n j i:5 n
leun4	l 9:4 n
baak3ye1po4	b a:3 k j E:1 p O:4
gu2	g u:2
gu2ha2	g u:2 h a:2
gu2gai3	g u:2 g 6j3
bun6	b u:6 n
san1jin2	s 61 n dz i:2 n
chi5	ts i:5
chi5fu4	ts i:5 f u:4
daan6	d a:6 n
dan6hai6	d 66 n h 6j6
wai2	w 6j2
wai6ji3	w 6j6 dz i:3
dai1	d 6j1
dai1wai2	d 6j1 w 6j2
dai1mai4	d 6j1 m 6j4
jyu6	dz y:6
jyu6suk1	dz y:6 s u:1 k
jyu6fong2	dz y:6 f O:2 N
jyu6jou1	dz y:6 dz ow1
jyu6yun6	dz y:6 j y:6 n
tai2yuk6	t 6j2 j y:6 k
tai2leung6	t 6j2 l 9:6 N
ho4bi2bi1	h O:4 b i:2 b i:1
ho4yu5jan1	h O:4 j y:5 dz 61 n
ho4man5chiu1	h O:4 m 65 n ts iw1
ho4ji2	h O:4 dz i:2
yu4wing6yi4	j y:4 w i:6 N j i:4
fat6saan1	f 66 t s a:1 n
fat6saan1ban1gun2	f 66 t s a:1 n b 61 n g u:2 n
jok3	dz O:3 k
jok3yip6	dz O:3 k j i:6 p
jok3wai4	dz O:3 k w 6j4
jok3jin3	dz O:3 k dz i:3 n
jok3man4	dz O:3 k m 64 n
jok3yung6	dz O:3 k j y:6 N
lei5	l ej5
lei5dei6	l ej5 d ej6
lei5hou2	l ej5 h ow2
keui5	k 9y5
keui5dei6	k 9y5 d ej6
lou2	l ow2
gaai1	g a:j1
gaai1ling4na4	g a:j1 l i:4 N n a:4
sai2	s 6j2
si5	s i:5
si5dou3	s i:5 d ow3
sai2m4sai2	s 6j2 m4 s 6j2
jat6ji2	dz 66 t dz i:2
chi2	ts i:2
lai6yu4	l 6j6 j y:4
lai6ji2	l 6j6 dz i:2
gung1	g u:1 N
gung1din6	g u:1 N d i:6 n
yi1	j i:1
lung4	l u:4 N
hau6cheng1	h 6w6 ts E:1 N
ting5	t i:5 N
bin3	b i:3 n
pin4ga3	p i:4 n g a:3
bin6bin6	b i:6 n b i:6 n
pin4yi4	p i:4 n j i:4
bou2	b ow2
bou2gwan1	b ow2 gw 61 n
bou2mou5	b ow2 m ow5
bou2ying1daan1	b ow2 j i:1 N d a:1 n
bou2wu6	b ow2 w u:6
bou2se5	b ow2 s E:5
bou2jing3	b ow2 dz i:3 N
bou2him2	b ow2 h i:2 m
hap6yi6	h 66 p j i:6
seun3	s 9:3 n
seun3hou6	s 9:3 n h ow6
seun3wo4	s 9:3 n w O:4
seun3fung1	s 9:3 n f u:1 N
seun3sik1	s 9:3 n s i:1 k
seun3gaau3	s 9:3 n g a:w3
seun3taai3	s 9:3 n t a:j3
sau1	s 6w1
sau1wai4	s 6w1 w 6j4
sau1yeung5	s 6w1 j 9:5 N
keui1lok6bou6	k 9y1 l O:6 k b ow6
pui5	p u:j5
dou3	d ow3
dou2mui4	d ow2 m u:j4
je3	dz E:3
je3syu1	dz E:3 s y:1
je3m4je3chin2	dz E:3 m4 dz E:3 ts i:2 n
je3chin2	dz E:3 ts i:2 n
jaai3mou6	dz a:j3 m ow6
jik6	dz i:6 k
jik6dak1	dz i:6 k d 61 k
jik6baan1	dz i:6 k b a:1 n
king1	k i:1 N
king1ha2	k i:1 N h a:2
king1ha5gai2	k i:1 N h a:5 g 6j2
king1leung5geui3	k i:1 N l 9:5 N g 9y3
king1king1gai3	k i:1 N k i:1 N g 6j3
king1yun4gai2	k i:1 N j y:4 n g 6j2
king1din6wa2	k i:1 N d i:6 n w a:2
king1gai2	k i:1 N g 6j2
ga3	g a:3
ga3ga3	g a:3 g a:3
ga2yu4	g a:2 j y:4
ga3yat6	g a:3 j 66 t
ga3yat6tung1	g a:3 j 66 t t u:1 N
ga3kei4	g a:3 k ej4
pin1sam1	p i:1 n s 61 m
pin1gik1	p i:1 n g i:1 k
pin1lei4	p i:1 n l ej4
jo6	dz O:6
jo6ha5	dz O:6 h a:5
jou6mat1gwai2	dz ow6 m 61 t gw 6j2
jou6yan4	dz ow6 j 64 n
jou6jou6ha2	dz ow6 dz ow6 h a:2
jou6dou3	dz ow6 d ow3
jou6dou3ye5	dz ow6 d ow3 j E:5
jou6m4jou6	dz ow6 m4 dz ow6
jou6m4dou3	dz ow6 m4 d ow3
jou6maai4	dz ow6 m a:j4
jou6gung1	dz ow6 g u:1 N
jo6hoi1ye5	dz O:6 h O:j1 j E:5
jou6dak1dou3	dz ow6 d 61 k d ow3
jo6ye5	dz O:6 j E:5
ting4	t i:4 N
ting4yat1ting4	t i:4 N j 61 t t i:4 N
ting4si5	t i:4 N s i:5
ting4gei1	t i:4 N g ej1
ting4che1	t i:4 N ts E:1
gin6lik6bou2	g i:6 n l i:6 k b ow2
gin6hong1	g i:6 n h O:1 N
tau1	t 6w1
tau1tau1	t 6w1 t 6w1
tau1m4dou3gai1	t 6w1 m4 d ow3 g 6j1
tau1siu3	t 6w1 s iw3
bong6	b O:6 N
pong4maan5	p O:4 N m a:5 n
chyu5bei6	ts y:5 b ej6
chyu5hei2	ts y:5 h ej2
cheui1	ts 9y1
so4	s O:4
so4ha2	s O:4 h a:2
so4lou2	s O:4 l ow2
so4so4	s O:4 s O:4
so4gwa1	s O:4 gw a:1
so4ye5	s O:4 j E:5
leng1jai2	l E:1 N dz 6j2
leng1mui1	l E:1 N m u:j1
yun4	j y:4 n
yun4daan3	j y:4 n d a:3 n
yun4long5	j y:4 n l O:5 N
hing1	h i:1 N
hing1dai6	h i:1 N d 6j6
chung1	ts u:1 N
chung1din6	ts u:1 N d i:6 n
chung1juk1	ts u:1 N dz u:1 k
chung1juk1ha2	ts u:1 N dz u:1 k h a:2
siu6	s iw6
sin1	s i:1 n
sin1ji1	s i:1 n dz i:1
sin1saang1	s i:1 n s a:1 N
sin1ji3	s i:1 n dz i:3
gong1	g O:1 N
gong1gwan3jit3	g O:1 N gw 63 n dz i:3 t
gong1gun2	g O:1 N g u:2 n
gong1yam1	g O:1 N j 61 m
min5	m i:5 n
min5tai4	m i:5 n t 6j4
min5fai3	m i:5 n f 6j3
dau1	d 6w1
dau1ha2	d 6w1 h a:2
dau1ha2hyun1	d 6w1 h a:2 h y:1 n
dau1dau1jyun2jyun2	d 6w1 d 6w1 dz y:2 n dz y:2 n
dau1lai4dau1heui3	d 6w1 l 6j4 d 6w1 h 9y3
yap6	j 66 p
yap6fo2	j 66 p f O:2
yap6jyu6	j 66 p dz y:6
yap6dou3heui3	j 66 p d ow3 h 9y3
yap6chong2	j 66 p ts O:2 N
yap6heui3	j 66 p h 9y3
yap6lai4	j 66 p l 6j4
yap6cheung4	j 66 p ts 9:4 N
